YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Crook, OR",41013,32415,1934,11.5,2990
1997-01-01,"Crook, OR",41013,33188,2226,12.8,3007
1998-01-01,"Crook, OR",41013,34438,2370,13.3,3065
1999-01-01,"Crook, OR",41013,34606,2295,12.1,3026
2000-01-01,"Crook, OR",41013,35896,2357,12.0,3132
2001-01-01,"Crook, OR",41013,34785,2509,12.6,3202
2002-01-01,"Crook, OR",41013,35218,2532,12.4,3198
2003-01-01,"Crook, OR",41013,35903,2496,11.8,3154
2004-01-01,"Crook, OR",41013,37981,2743,12.5,3207
2005-01-01,"Crook, OR",41013,39583,2976,13.7,3166
2006-01-01,"Crook, OR",41013,41573,2982,13.2,3236
2007-01-01,"Crook, OR",41013,45244,2901,12.8,3322
2008-01-01,"Crook, OR",41013,44069,2869,12.6,3247
2009-01-01,"Crook, OR",41013,42342,3606,16.2,3208
2010-01-01,"Crook, OR",41013,47175,3172,13.0,3292
2011-01-01,"Crook, OR",41013,47388,3467,14.0,3298
2012-01-01,"Crook, OR",41013,48902,3455,14.0,3311
2013-01-01,"Crook, OR",41013,49831,3572,14.0,3321
2014-01-01,"Crook, OR",41013,50980,3632,14.0,3331
2015-01-01,"Crook, OR",41013,52001,3713,15.0,3341
2016-01-01,"Crook, OR",41013,53043,3782,15.0,3350
2017-01-01,"Crook, OR",41013,54040,3854,15.0,3359
2018-01-01,"Crook, OR",41013,55021,3921,15.0,3368
2019-01-01,"Crook, OR",41013,55973,3988,15.0,3376
