YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Cumberland, TN",47035,26297,6561,15.6,6087
1997-01-01,"Cumberland, TN",47035,27132,6551,14.7,6264
1998-01-01,"Cumberland, TN",47035,28756,6715,14.7,6426
1999-01-01,"Cumberland, TN",47035,30118,6802,14.6,6579
2000-01-01,"Cumberland, TN",47035,31276,6630,14.0,6707
2001-01-01,"Cumberland, TN",47035,29989,7180,14.9,6832
2002-01-01,"Cumberland, TN",47035,30649,7466,15.2,6562
2003-01-01,"Cumberland, TN",47035,32471,7012,14.1,6775
2004-01-01,"Cumberland, TN",47035,34061,7499,14.7,6899
2005-01-01,"Cumberland, TN",47035,34675,8488,16.8,7089
2006-01-01,"Cumberland, TN",47035,35861,8848,17.1,7337
2007-01-01,"Cumberland, TN",47035,36424,8904,17.0,7455
2008-01-01,"Cumberland, TN",47035,38360,8222,15.5,7646
2009-01-01,"Cumberland, TN",47035,36347,9818,18.4,7528
2010-01-01,"Cumberland, TN",47035,39265,8872,16.0,7629
2011-01-01,"Cumberland, TN",47035,39095,9643,17.0,7795
2012-01-01,"Cumberland, TN",47035,39904,9684,17.0,7865
2013-01-01,"Cumberland, TN",47035,40451,9888,17.0,7947
2014-01-01,"Cumberland, TN",47035,41045,10045,18.0,8023
2015-01-01,"Cumberland, TN",47035,41593,10211,18.0,8099
2016-01-01,"Cumberland, TN",47035,42126,10368,18.0,8171
2017-01-01,"Cumberland, TN",47035,42636,10519,18.0,8240
2018-01-01,"Cumberland, TN",47035,43127,10664,18.0,8307
2019-01-01,"Cumberland, TN",47035,43598,10803,18.0,8371
