YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Defiance, OH",39039,38608,2765,6.9,7695
1997-01-01,"Defiance, OH",39039,41686,2838,7.1,7722
1998-01-01,"Defiance, OH",39039,42751,2859,7.2,7687
1999-01-01,"Defiance, OH",39039,43465,2735,7.0,7492
2000-01-01,"Defiance, OH",39039,45625,2406,6.2,7492
2001-01-01,"Defiance, OH",39039,44854,2756,7.1,7334
2002-01-01,"Defiance, OH",39039,44596,2668,6.9,7124
2003-01-01,"Defiance, OH",39039,45357,2787,7.2,6879
2004-01-01,"Defiance, OH",39039,46151,3041,7.9,6882
2005-01-01,"Defiance, OH",39039,46851,3228,8.4,6833
2006-01-01,"Defiance, OH",39039,47254,3350,8.7,6868
2007-01-01,"Defiance, OH",39039,47553,3603,9.5,6801
2008-01-01,"Defiance, OH",39039,49614,3725,9.8,6851
2009-01-01,"Defiance, OH",39039,45229,4484,11.9,6828
2010-01-01,"Defiance, OH",39039,49162,4596,12.0,7108
2011-01-01,"Defiance, OH",39039,47165,5019,13.0,7224
2012-01-01,"Defiance, OH",39039,48230,5250,13.0,7484
2013-01-01,"Defiance, OH",39039,47380,5554,14.0,7713
2014-01-01,"Defiance, OH",39039,47398,5770,15.0,8001
2015-01-01,"Defiance, OH",39039,46751,5973,15.0,8289
2016-01-01,"Defiance, OH",39039,46307,6107,16.0,8600
2017-01-01,"Defiance, OH",39039,45600,6192,16.0,8909
2018-01-01,"Defiance, OH",39039,44912,6208,16.0,9215
2019-01-01,"Defiance, OH",39039,44112,6158,16.0,9506
