YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Dewey, SD",46041,20404,1878,32.2,1937
1997-01-01,"Dewey, SD",46041,22027,1963,32.9,2115
1998-01-01,"Dewey, SD",46041,22618,1933,31.9,1910
1999-01-01,"Dewey, SD",46041,23412,1720,28.9,2114
2000-01-01,"Dewey, SD",46041,24795,1633,27.3,789
2001-01-01,"Dewey, SD",46041,23969,1619,26.9,2436
2002-01-01,"Dewey, SD",46041,24207,1621,26.5,2399
2003-01-01,"Dewey, SD",46041,26294,1528,25.1,2390
2004-01-01,"Dewey, SD",46041,28211,1577,25.7,769
2005-01-01,"Dewey, SD",46041,29716,1700,28.3,668
2006-01-01,"Dewey, SD",46041,28200,1835,30.5,700
2007-01-01,"Dewey, SD",46041,29394,1723,29.1,354
2008-01-01,"Dewey, SD",46041,31716,1608,27.5,332
2009-01-01,"Dewey, SD",46041,29804,1834,31.2,638
2010-01-01,"Dewey, SD",46041,29574,1885,32.0,133
2011-01-01,"Dewey, SD",46041,29240,1907,32.0,261
2012-01-01,"Dewey, SD",46041,28863,1939,33.0,252
2013-01-01,"Dewey, SD",46041,28509,1957,33.0,300
2014-01-01,"Dewey, SD",46041,28184,1969,33.0,349
2015-01-01,"Dewey, SD",46041,27901,1974,33.0,404
2016-01-01,"Dewey, SD",46041,27665,1974,33.0,460
2017-01-01,"Dewey, SD",46041,27480,1970,33.0,514
2018-01-01,"Dewey, SD",46041,27342,1963,33.0,562
2019-01-01,"Dewey, SD",46041,27249,1954,33.0,604
