YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Dunn, WI",55033,32970,3975,10.9,5766
1997-01-01,"Dunn, WI",55033,35947,4405,11.9,6069
1998-01-01,"Dunn, WI",55033,38307,4194,11.3,6094
1999-01-01,"Dunn, WI",55033,38567,3868,10.4,6160
2000-01-01,"Dunn, WI",55033,40691,3740,10.0,6164
2001-01-01,"Dunn, WI",55033,39485,3627,9.6,6060
2002-01-01,"Dunn, WI",55033,39775,3790,9.9,6080
2003-01-01,"Dunn, WI",55033,40437,3646,9.4,6016
2004-01-01,"Dunn, WI",55033,41615,4433,11.4,6031
2005-01-01,"Dunn, WI",55033,44162,4624,12.0,5946
2006-01-01,"Dunn, WI",55033,47607,4598,11.8,5869
2007-01-01,"Dunn, WI",55033,46351,5494,14.0,5868
2008-01-01,"Dunn, WI",55033,48144,5585,14.2,5780
2009-01-01,"Dunn, WI",55033,47808,6043,15.3,5983
2010-01-01,"Dunn, WI",55033,50256,5702,14.0,5856
2011-01-01,"Dunn, WI",55033,50396,5947,15.0,5837
2012-01-01,"Dunn, WI",55033,51195,6144,15.0,5813
2013-01-01,"Dunn, WI",55033,52039,6341,15.0,5793
2014-01-01,"Dunn, WI",55033,52891,6527,16.0,5775
2015-01-01,"Dunn, WI",55033,53715,6702,16.0,5758
2016-01-01,"Dunn, WI",55033,54505,6868,17.0,5742
2017-01-01,"Dunn, WI",55033,55262,7026,17.0,5726
2018-01-01,"Dunn, WI",55033,55988,7178,17.0,5711
2019-01-01,"Dunn, WI",55033,56687,7325,18.0,5696
