YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Elbert, CO",8039,54320,868,5.3,2478
1997-01-01,"Elbert, CO",8039,52636,1050,5.6,3056
1998-01-01,"Elbert, CO",8039,57910,1118,5.6,3417
1999-01-01,"Elbert, CO",8039,63241,1008,5.1,3486
2000-01-01,"Elbert, CO",8039,66082,1070,5.1,3592
2001-01-01,"Elbert, CO",8039,66230,1131,5.1,3809
2002-01-01,"Elbert, CO",8039,66648,1239,5.6,4028
2003-01-01,"Elbert, CO",8039,66507,1243,5.5,4211
2004-01-01,"Elbert, CO",8039,69631,1240,5.4,4058
2005-01-01,"Elbert, CO",8039,69074,1188,5.2,3985
2006-01-01,"Elbert, CO",8039,75374,1229,5.3,4014
2007-01-01,"Elbert, CO",8039,77037,1115,4.9,4057
2008-01-01,"Elbert, CO",8039,75990,1258,5.5,3991
2009-01-01,"Elbert, CO",8039,77123,1252,5.4,3828
2010-01-01,"Elbert, CO",8039,77312,1198,5.0,3880
2011-01-01,"Elbert, CO",8039,76847,1202,5.0,3901
2012-01-01,"Elbert, CO",8039,76597,1204,5.0,3916
2013-01-01,"Elbert, CO",8039,76453,1205,5.0,3927
2014-01-01,"Elbert, CO",8039,76378,1206,5.0,3934
2015-01-01,"Elbert, CO",8039,76342,1206,5.0,3939
2016-01-01,"Elbert, CO",8039,76330,1207,5.0,3942
2017-01-01,"Elbert, CO",8039,76331,1207,5.0,3944
2018-01-01,"Elbert, CO",8039,76337,1207,5.0,3945
2019-01-01,"Elbert, CO",8039,76347,1207,5.0,3946
