YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Essex, MA",25009,41571,67605,9.8,102323
1997-01-01,"Essex, MA",25009,44187,74648,10.6,108626
1998-01-01,"Essex, MA",25009,44969,65919,9.3,111686
1999-01-01,"Essex, MA",25009,46633,72331,10.1,114191
2000-01-01,"Essex, MA",25009,48944,61233,8.4,116844
2001-01-01,"Essex, MA",25009,49806,59493,8.2,117294
2002-01-01,"Essex, MA",25009,49746,65342,8.9,118339
2003-01-01,"Essex, MA",25009,50690,70991,9.7,117869
2004-01-01,"Essex, MA",25009,52050,75192,10.3,117365
2005-01-01,"Essex, MA",25009,57021,79859,11.1,116398
2006-01-01,"Essex, MA",25009,59447,68470,9.5,116212
2007-01-01,"Essex, MA",25009,61395,74287,10.4,115338
2008-01-01,"Essex, MA",25009,65183,67698,9.4,114229
2009-01-01,"Essex, MA",25009,62758,78064,10.8,113593
2010-01-01,"Essex, MA",25009,64033,86707,12.0,112376
2011-01-01,"Essex, MA",25009,67039,84330,11.0,111366
2012-01-01,"Essex, MA",25009,69356,83057,11.0,110529
2013-01-01,"Essex, MA",25009,71054,84902,11.0,109669
2014-01-01,"Essex, MA",25009,72753,87503,12.0,108734
2015-01-01,"Essex, MA",25009,74638,89604,12.0,107761
2016-01-01,"Essex, MA",25009,76611,91392,12.0,106773
2017-01-01,"Essex, MA",25009,78599,93235,13.0,105772
2018-01-01,"Essex, MA",25009,80602,95207,13.0,104753
2019-01-01,"Essex, MA",25009,82638,97239,13.0,103712
