YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Fairbanks North Star, AK",2090,48572,6486,8.0,16905
1997-01-01,"Fairbanks North Star, AK",2090,46944,7507,9.1,16890
1998-01-01,"Fairbanks North Star, AK",2090,47552,7277,8.9,17218
1999-01-01,"Fairbanks North Star, AK",2090,46713,5929,7.4,17243
2000-01-01,"Fairbanks North Star, AK",2090,50354,5654,7.0,17669
2001-01-01,"Fairbanks North Star, AK",2090,50034,5469,6.7,17106
2002-01-01,"Fairbanks North Star, AK",2090,51553,5841,7.0,16509
2003-01-01,"Fairbanks North Star, AK",2090,52477,6456,7.8,16403
2004-01-01,"Fairbanks North Star, AK",2090,53085,6700,8.0,15992
2005-01-01,"Fairbanks North Star, AK",2090,55408,7368,8.9,16009
2006-01-01,"Fairbanks North Star, AK",2090,57914,7553,9.1,16102
2007-01-01,"Fairbanks North Star, AK",2090,62155,7257,7.8,16475
2008-01-01,"Fairbanks North Star, AK",2090,65473,7004,7.5,15579
2009-01-01,"Fairbanks North Star, AK",2090,64691,7420,7.9,15741
2010-01-01,"Fairbanks North Star, AK",2090,66067,7578,8.0,15421
2011-01-01,"Fairbanks North Star, AK",2090,67847,7894,8.0,15230
2012-01-01,"Fairbanks North Star, AK",2090,69885,8142,8.0,15094
2013-01-01,"Fairbanks North Star, AK",2090,72040,8310,8.0,14943
2014-01-01,"Fairbanks North Star, AK",2090,74263,8461,8.0,14756
2015-01-01,"Fairbanks North Star, AK",2090,76570,8640,8.0,14543
2016-01-01,"Fairbanks North Star, AK",2090,78992,8853,8.0,14319
2017-01-01,"Fairbanks North Star, AK",2090,81550,9084,8.0,14089
2018-01-01,"Fairbanks North Star, AK",2090,84250,9325,8.0,13851
2019-01-01,"Fairbanks North Star, AK",2090,87091,9574,9.0,13601
