YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Frederick, MD",24021,51220,9818,5.5,30451
1997-01-01,"Frederick, MD",24021,53415,10695,5.8,32766
1998-01-01,"Frederick, MD",24021,55707,10331,5.5,33749
1999-01-01,"Frederick, MD",24021,58213,9655,5.0,34569
2000-01-01,"Frederick, MD",24021,61887,9315,4.7,35383
2001-01-01,"Frederick, MD",24021,62304,8881,4.3,36059
2002-01-01,"Frederick, MD",24021,65209,9875,4.7,36885
2003-01-01,"Frederick, MD",24021,66493,11954,5.6,38022
2004-01-01,"Frederick, MD",24021,69005,12918,5.9,38950
2005-01-01,"Frederick, MD",24021,72205,9919,4.6,39489
2006-01-01,"Frederick, MD",24021,73765,9776,4.5,39672
2007-01-01,"Frederick, MD",24021,76802,11540,5.3,40224
2008-01-01,"Frederick, MD",24021,78437,12032,5.4,40487
2009-01-01,"Frederick, MD",24021,82598,12674,5.7,40070
2010-01-01,"Frederick, MD",24021,85746,14435,6.0,40566
2011-01-01,"Frederick, MD",24021,89375,15563,7.0,40881
2012-01-01,"Frederick, MD",24021,93305,16674,7.0,41072
2013-01-01,"Frederick, MD",24021,97544,17957,8.0,41191
2014-01-01,"Frederick, MD",24021,102146,19442,9.0,41263
2015-01-01,"Frederick, MD",24021,107171,21126,9.0,41298
2016-01-01,"Frederick, MD",24021,112674,23014,10.0,41297
2017-01-01,"Frederick, MD",24021,118713,25117,12.0,41260
2018-01-01,"Frederick, MD",24021,125348,27455,13.0,41185
2019-01-01,"Frederick, MD",24021,132646,30051,14.0,41072
