YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Freeborn, MN",27047,30507,3252,10.2,5435
1997-01-01,"Freeborn, MN",27047,33893,3249,10.3,5283
1998-01-01,"Freeborn, MN",27047,35243,3322,10.6,5272
1999-01-01,"Freeborn, MN",27047,36091,2757,8.5,5169
2000-01-01,"Freeborn, MN",27047,38026,2577,8.0,5141
2001-01-01,"Freeborn, MN",27047,37322,2711,8.6,4978
2002-01-01,"Freeborn, MN",27047,37810,2723,8.6,4929
2003-01-01,"Freeborn, MN",27047,38291,2757,8.7,4771
2004-01-01,"Freeborn, MN",27047,39865,2741,8.7,4453
2005-01-01,"Freeborn, MN",27047,39345,2818,9.0,4391
2006-01-01,"Freeborn, MN",27047,42235,2895,9.3,4382
2007-01-01,"Freeborn, MN",27047,41944,2681,8.7,4314
2008-01-01,"Freeborn, MN",27047,46595,3303,10.9,4135
2009-01-01,"Freeborn, MN",27047,44222,3334,10.9,4085
2010-01-01,"Freeborn, MN",27047,43551,3177,10.0,4069
2011-01-01,"Freeborn, MN",27047,43783,3128,10.0,4036
2012-01-01,"Freeborn, MN",27047,44186,3127,10.0,3996
2013-01-01,"Freeborn, MN",27047,44528,3138,10.0,3955
2014-01-01,"Freeborn, MN",27047,44806,3150,10.0,3918
2015-01-01,"Freeborn, MN",27047,45045,3161,10.0,3883
2016-01-01,"Freeborn, MN",27047,45259,3172,10.0,3851
2017-01-01,"Freeborn, MN",27047,45453,3182,10.0,3822
2018-01-01,"Freeborn, MN",27047,45629,3192,10.0,3796
2019-01-01,"Freeborn, MN",27047,45789,3201,10.0,3772
