YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Glasscock, TX",48173,28511,220,15.3,416
1997-01-01,"Glasscock, TX",48173,35799,158,11.3,406
1998-01-01,"Glasscock, TX",48173,35678,245,16.5,432
1999-01-01,"Glasscock, TX",48173,36732,190,13.5,415
2000-01-01,"Glasscock, TX",48173,37503,149,11.0,399
2001-01-01,"Glasscock, TX",48173,38068,143,10.5,355
2002-01-01,"Glasscock, TX",48173,34917,162,12.0,345
2003-01-01,"Glasscock, TX",48173,38645,139,10.4,334
2004-01-01,"Glasscock, TX",48173,41100,97,7.3,287
2005-01-01,"Glasscock, TX",48173,42566,129,9.7,314
2006-01-01,"Glasscock, TX",48173,45741,152,12.2,285
2007-01-01,"Glasscock, TX",48173,47583,121,10.3,289
2008-01-01,"Glasscock, TX",48173,52364,109,9.0,276
2009-01-01,"Glasscock, TX",48173,52384,132,10.8,262
2010-01-01,"Glasscock, TX",48173,54124,112,9.0,249
2011-01-01,"Glasscock, TX",48173,55905,103,9.0,233
2012-01-01,"Glasscock, TX",48173,57476,98,9.0,219
2013-01-01,"Glasscock, TX",48173,59192,91,8.0,204
2014-01-01,"Glasscock, TX",48173,60963,84,8.0,190
2015-01-01,"Glasscock, TX",48173,62760,78,8.0,175
2016-01-01,"Glasscock, TX",48173,64593,71,8.0,161
2017-01-01,"Glasscock, TX",48173,66457,65,7.0,146
2018-01-01,"Glasscock, TX",48173,68348,58,7.0,131
2019-01-01,"Glasscock, TX",48173,70266,51,7.0,116
