YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Greene, IN",18055,29786,3466,10.4,5940
1997-01-01,"Greene, IN",18055,32293,3625,10.8,6014
1998-01-01,"Greene, IN",18055,34109,3620,10.8,5995
1999-01-01,"Greene, IN",18055,33718,3192,9.7,5995
2000-01-01,"Greene, IN",18055,35155,3279,10.0,5934
2001-01-01,"Greene, IN",18055,34724,3509,10.7,5896
2002-01-01,"Greene, IN",18055,35391,3608,11.0,5828
2003-01-01,"Greene, IN",18055,36374,3601,10.9,5775
2004-01-01,"Greene, IN",18055,37849,3857,11.6,5732
2005-01-01,"Greene, IN",18055,37441,4938,15.1,5779
2006-01-01,"Greene, IN",18055,36480,5268,16.1,5734
2007-01-01,"Greene, IN",18055,41419,4244,13.3,5692
2008-01-01,"Greene, IN",18055,41378,4361,13.7,5606
2009-01-01,"Greene, IN",18055,41394,5277,16.6,5519
2010-01-01,"Greene, IN",18055,43716,5443,17.0,5426
2011-01-01,"Greene, IN",18055,45505,5860,18.0,5326
2012-01-01,"Greene, IN",18055,47525,6341,20.0,5219
2013-01-01,"Greene, IN",18055,49817,6859,21.0,5097
2014-01-01,"Greene, IN",18055,52415,7426,23.0,4958
2015-01-01,"Greene, IN",18055,55362,8063,25.0,4799
2016-01-01,"Greene, IN",18055,58714,8790,28.0,4617
2017-01-01,"Greene, IN",18055,62527,9621,31.0,4410
2018-01-01,"Greene, IN",18055,66866,10569,34.0,4174
2019-01-01,"Greene, IN",18055,71800,11647,38.0,3907
