YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Guadalupe, NM",35019,17833,1267,30.0,1095
1997-01-01,"Guadalupe, NM",35019,18820,1217,29.7,1037
1998-01-01,"Guadalupe, NM",35019,19122,1211,29.7,1031
1999-01-01,"Guadalupe, NM",35019,22785,991,23.7,1001
2000-01-01,"Guadalupe, NM",35019,24562,891,21.8,1006
2001-01-01,"Guadalupe, NM",35019,23425,1049,26.0,989
2002-01-01,"Guadalupe, NM",35019,23359,913,22.4,922
2003-01-01,"Guadalupe, NM",35019,24161,822,20.9,875
2004-01-01,"Guadalupe, NM",35019,25248,745,19.5,800
2005-01-01,"Guadalupe, NM",35019,26205,920,24.3,768
2006-01-01,"Guadalupe, NM",35019,30906,872,22.9,758
2007-01-01,"Guadalupe, NM",35019,26929,981,25.5,760
2008-01-01,"Guadalupe, NM",35019,27913,887,23.7,761
2009-01-01,"Guadalupe, NM",35019,27908,941,25.9,737
2010-01-01,"Guadalupe, NM",35019,29152,962,25.0,712
2011-01-01,"Guadalupe, NM",35019,29198,945,25.0,713
2012-01-01,"Guadalupe, NM",35019,29253,937,25.0,711
2013-01-01,"Guadalupe, NM",35019,29312,932,25.0,709
2014-01-01,"Guadalupe, NM",35019,29376,929,25.0,706
2015-01-01,"Guadalupe, NM",35019,29440,927,25.0,704
2016-01-01,"Guadalupe, NM",35019,29500,926,25.0,701
2017-01-01,"Guadalupe, NM",35019,29554,925,25.0,699
2018-01-01,"Guadalupe, NM",35019,29603,925,25.0,697
2019-01-01,"Guadalupe, NM",35019,29645,925,25.0,696
