YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Hansford, TX",48195,30768,681,12.7,1386
1997-01-01,"Hansford, TX",48195,36272,567,10.6,1356
1998-01-01,"Hansford, TX",48195,37866,611,11.3,1330
1999-01-01,"Hansford, TX",48195,36653,734,13.8,1322
2000-01-01,"Hansford, TX",48195,38560,677,12.9,1327
2001-01-01,"Hansford, TX",48195,37992,670,13.0,1317
2002-01-01,"Hansford, TX",48195,34117,652,12.7,1298
2003-01-01,"Hansford, TX",48195,34889,704,13.7,1299
2004-01-01,"Hansford, TX",48195,35974,697,13.5,1256
2005-01-01,"Hansford, TX",48195,36216,800,15.6,1278
2006-01-01,"Hansford, TX",48195,39363,761,14.8,1250
2007-01-01,"Hansford, TX",48195,44826,693,13.5,1250
2008-01-01,"Hansford, TX",48195,45291,624,12.0,1285
2009-01-01,"Hansford, TX",48195,44690,654,12.3,1338
2010-01-01,"Hansford, TX",48195,44254,560,10.0,1352
2011-01-01,"Hansford, TX",48195,41972,555,10.0,1372
2012-01-01,"Hansford, TX",48195,40427,557,10.0,1382
2013-01-01,"Hansford, TX",48195,39415,562,10.0,1385
2014-01-01,"Hansford, TX",48195,38752,568,10.0,1384
2015-01-01,"Hansford, TX",48195,38357,576,10.0,1381
2016-01-01,"Hansford, TX",48195,38163,584,10.0,1376
2017-01-01,"Hansford, TX",48195,38114,591,10.0,1371
2018-01-01,"Hansford, TX",48195,38161,597,11.0,1366
2019-01-01,"Hansford, TX",48195,38265,603,11.0,1362
