YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Hardeman, TN",47069,24606,4931,20.7,4895
1997-01-01,"Hardeman, TN",47069,25337,4823,20.0,4846
1998-01-01,"Hardeman, TN",47069,26112,4352,18.0,4725
1999-01-01,"Hardeman, TN",47069,27477,4491,18.4,4684
2000-01-01,"Hardeman, TN",47069,28736,4941,20.2,4734
2001-01-01,"Hardeman, TN",47069,28099,5049,20.7,4816
2002-01-01,"Hardeman, TN",47069,28290,5078,20.8,4589
2003-01-01,"Hardeman, TN",47069,29607,4487,18.4,4566
2004-01-01,"Hardeman, TN",47069,30746,5141,21.1,4465
2005-01-01,"Hardeman, TN",47069,30592,5326,22.1,4464
2006-01-01,"Hardeman, TN",47069,32877,5619,23.2,4429
2007-01-01,"Hardeman, TN",47069,33780,5196,21.8,4420
2008-01-01,"Hardeman, TN",47069,36527,5458,22.8,4433
2009-01-01,"Hardeman, TN",47069,33734,5941,25.1,4347
2010-01-01,"Hardeman, TN",47069,35813,5630,23.0,4337
2011-01-01,"Hardeman, TN",47069,36821,5900,25.0,4311
2012-01-01,"Hardeman, TN",47069,37538,6029,25.0,4276
2013-01-01,"Hardeman, TN",47069,38394,6130,26.0,4243
2014-01-01,"Hardeman, TN",47069,39274,6249,26.0,4210
2015-01-01,"Hardeman, TN",47069,40158,6369,27.0,4177
2016-01-01,"Hardeman, TN",47069,41058,6491,27.0,4142
2017-01-01,"Hardeman, TN",47069,41974,6615,28.0,4107
2018-01-01,"Hardeman, TN",47069,42906,6741,29.0,4072
2019-01-01,"Hardeman, TN",47069,43853,6869,29.0,4035
