YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Highland, VA",51091,25905,307,11.9,384
1997-01-01,"Highland, VA",51091,28609,348,13.7,378
1998-01-01,"Highland, VA",51091,29767,343,13.5,377
1999-01-01,"Highland, VA",51091,29129,280,11.0,349
2000-01-01,"Highland, VA",51091,30956,300,11.9,350
2001-01-01,"Highland, VA",51091,30356,298,12.0,353
2002-01-01,"Highland, VA",51091,30678,304,12.1,334
2003-01-01,"Highland, VA",51091,31124,291,11.7,310
2004-01-01,"Highland, VA",51091,32852,270,10.8,295
2005-01-01,"Highland, VA",51091,34519,316,12.8,298
2006-01-01,"Highland, VA",51091,34521,324,12.9,310
2007-01-01,"Highland, VA",51091,36521,313,12.8,302
2008-01-01,"Highland, VA",51091,38088,311,12.8,282
2009-01-01,"Highland, VA",51091,35892,323,13.8,273
2010-01-01,"Highland, VA",51091,34256,290,11.0,242
2011-01-01,"Highland, VA",51091,37616,308,12.0,252
2012-01-01,"Highland, VA",51091,39539,317,13.0,261
2013-01-01,"Highland, VA",51091,38835,308,12.0,251
2014-01-01,"Highland, VA",51091,38139,300,12.0,237
2015-01-01,"Highland, VA",51091,38764,302,12.0,232
2016-01-01,"Highland, VA",51091,39745,306,12.0,232
2017-01-01,"Highland, VA",51091,40134,306,12.0,229
2018-01-01,"Highland, VA",51091,40151,304,12.0,223
2019-01-01,"Highland, VA",51091,40339,303,12.0,218
