YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Holmes, FL",12059,22470,4389,25.9,3677
1997-01-01,"Holmes, FL",12059,23416,4328,24.7,3759
1998-01-01,"Holmes, FL",12059,24687,4210,23.9,3831
1999-01-01,"Holmes, FL",12059,26781,3537,20.9,3862
2000-01-01,"Holmes, FL",12059,27831,3480,20.6,3735
2001-01-01,"Holmes, FL",12059,26950,3636,21.4,3650
2002-01-01,"Holmes, FL",12059,27080,3513,20.5,3588
2003-01-01,"Holmes, FL",12059,27713,3202,18.6,3537
2004-01-01,"Holmes, FL",12059,28694,3078,17.6,3383
2005-01-01,"Holmes, FL",12059,30778,3815,21.9,3389
2006-01-01,"Holmes, FL",12059,30794,3656,20.9,3439
2007-01-01,"Holmes, FL",12059,33321,3452,19.8,3384
2008-01-01,"Holmes, FL",12059,33251,3678,21.0,3385
2009-01-01,"Holmes, FL",12059,31861,4115,24.0,3371
2010-01-01,"Holmes, FL",12059,30554,4200,24.0,3433
2011-01-01,"Holmes, FL",12059,30458,4135,23.0,3516
2012-01-01,"Holmes, FL",12059,30375,4006,23.0,3566
2013-01-01,"Holmes, FL",12059,30039,3893,22.0,3577
2014-01-01,"Holmes, FL",12059,29674,3823,22.0,3567
2015-01-01,"Holmes, FL",12059,29489,3788,21.0,3552
2016-01-01,"Holmes, FL",12059,29509,3773,21.0,3538
2017-01-01,"Holmes, FL",12059,29647,3767,21.0,3528
2018-01-01,"Holmes, FL",12059,29808,3769,21.0,3520
2019-01-01,"Holmes, FL",12059,29946,3775,21.0,3513
