YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Hughes, OK",40063,19372,3523,27.1,2560
1997-01-01,"Hughes, OK",40063,21394,3322,25.5,2576
1998-01-01,"Hughes, OK",40063,21696,3243,24.8,2662
1999-01-01,"Hughes, OK",40063,22573,2678,20.6,2670
2000-01-01,"Hughes, OK",40063,23664,2789,22.0,2584
2001-01-01,"Hughes, OK",40063,23129,2915,22.9,2591
2002-01-01,"Hughes, OK",40063,23245,2872,22.6,2491
2003-01-01,"Hughes, OK",40063,24543,2485,19.4,2573
2004-01-01,"Hughes, OK",40063,25324,2493,19.7,2534
2005-01-01,"Hughes, OK",40063,24973,3391,27.2,2506
2006-01-01,"Hughes, OK",40063,27158,2961,23.6,2475
2007-01-01,"Hughes, OK",40063,28689,3179,25.7,2417
2008-01-01,"Hughes, OK",40063,30932,3005,24.3,2382
2009-01-01,"Hughes, OK",40063,30438,2699,21.7,2380
2010-01-01,"Hughes, OK",40063,30461,2847,23.0,2397
2011-01-01,"Hughes, OK",40063,30834,2856,23.0,2385
2012-01-01,"Hughes, OK",40063,31250,2858,23.0,2371
2013-01-01,"Hughes, OK",40063,31667,2860,23.0,2360
2014-01-01,"Hughes, OK",40063,32066,2859,23.0,2350
2015-01-01,"Hughes, OK",40063,32439,2856,23.0,2341
2016-01-01,"Hughes, OK",40063,32786,2853,23.0,2333
2017-01-01,"Hughes, OK",40063,33110,2850,23.0,2325
2018-01-01,"Hughes, OK",40063,33414,2847,23.0,2317
2019-01-01,"Hughes, OK",40063,33699,2845,23.0,2310
