YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Iron, MO",29093,22419,2431,22.7,2545
1997-01-01,"Iron, MO",29093,23782,2222,20.8,2486
1998-01-01,"Iron, MO",29093,24355,2121,19.9,2534
1999-01-01,"Iron, MO",29093,25709,1955,18.7,2472
2000-01-01,"Iron, MO",29093,26953,1783,17.3,2459
2001-01-01,"Iron, MO",29093,26304,1738,17.0,2393
2002-01-01,"Iron, MO",29093,26492,1715,17.0,2421
2003-01-01,"Iron, MO",29093,27548,1777,17.6,2365
2004-01-01,"Iron, MO",29093,28582,1961,19.5,2309
2005-01-01,"Iron, MO",29093,28702,2384,24.2,2288
2006-01-01,"Iron, MO",29093,30442,2045,20.5,2237
2007-01-01,"Iron, MO",29093,30490,1959,20.2,2169
2008-01-01,"Iron, MO",29093,29219,2070,21.6,2129
2009-01-01,"Iron, MO",29093,31608,2122,22.0,1536
2010-01-01,"Iron, MO",29093,29840,3349,35.0,632
2011-01-01,"Iron, MO",29093,32063,5249,56.0,-1842
2012-01-01,"Iron, MO",29093,31715,10534,114.0,-7459
2013-01-01,"Iron, MO",29093,34956,22479,243.0,-21046
2014-01-01,"Iron, MO",29093,38990,51432,558.0,-53235
2015-01-01,"Iron, MO",29093,51166,120001,1304.0,-130053
2016-01-01,"Iron, MO",29093,77759,283682,3085.0,-312945
2017-01-01,"Iron, MO",29093,142723,673377,7325.0,-748750
2018-01-01,"Iron, MO",29093,295906,1601994,17429.0,-1786931
2019-01-01,"Iron, MO",29093,661852,3814156,41497.0,-4260335
