YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Johnson, GA",13167,22249,2137,25.8,1555
1997-01-01,"Johnson, GA",13167,24315,2044,24.8,1524
1998-01-01,"Johnson, GA",13167,24954,2000,24.3,1491
1999-01-01,"Johnson, GA",13167,24068,1710,21.4,1450
2000-01-01,"Johnson, GA",13167,24792,1822,22.8,1419
2001-01-01,"Johnson, GA",13167,23558,2062,25.8,1416
2002-01-01,"Johnson, GA",13167,23569,1966,24.4,1400
2003-01-01,"Johnson, GA",13167,24229,1790,22.1,1415
2004-01-01,"Johnson, GA",13167,25286,1825,22.9,1323
2005-01-01,"Johnson, GA",13167,26671,2135,27.0,1260
2006-01-01,"Johnson, GA",13167,26514,2173,27.5,1242
2007-01-01,"Johnson, GA",13167,28310,2482,31.9,1246
2008-01-01,"Johnson, GA",13167,28704,2181,28.2,1221
2009-01-01,"Johnson, GA",13167,27279,2340,31.0,1246
2010-01-01,"Johnson, GA",13167,26076,2176,28.0,1293
2011-01-01,"Johnson, GA",13167,25499,2103,27.0,1319
2012-01-01,"Johnson, GA",13167,25419,2082,26.0,1329
2013-01-01,"Johnson, GA",13167,25593,2086,26.0,1328
2014-01-01,"Johnson, GA",13167,25819,2099,26.0,1322
2015-01-01,"Johnson, GA",13167,25991,2112,26.0,1315
2016-01-01,"Johnson, GA",13167,26087,2121,27.0,1310
2017-01-01,"Johnson, GA",13167,26123,2127,27.0,1307
2018-01-01,"Johnson, GA",13167,26127,2129,27.0,1306
2019-01-01,"Johnson, GA",13167,26122,2131,27.0,1305
