YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Kane, IL",17089,50747,23950,6.5,81292
1997-01-01,"Kane, IL",17089,53337,26537,6.8,86339
1998-01-01,"Kane, IL",17089,57033,23545,5.8,99158
1999-01-01,"Kane, IL",17089,56925,23373,5.8,102135
2000-01-01,"Kane, IL",17089,59658,24853,5.9,94821
2001-01-01,"Kane, IL",17089,59011,27976,6.4,98180
2002-01-01,"Kane, IL",17089,59721,32278,7.1,102187
2003-01-01,"Kane, IL",17089,59695,34863,7.4,105877
2004-01-01,"Kane, IL",17089,61246,37975,7.9,111077
2005-01-01,"Kane, IL",17089,63429,40414,8.5,113069
2006-01-01,"Kane, IL",17089,64109,40493,8.3,115965
2007-01-01,"Kane, IL",17089,68513,38764,7.8,118515
2008-01-01,"Kane, IL",17089,66834,44955,9.0,120648
2009-01-01,"Kane, IL",17089,66604,47635,9.4,121404
2010-01-01,"Kane, IL",17089,68131,49255,9.0,125364
2011-01-01,"Kane, IL",17089,69468,50797,9.0,128120
2012-01-01,"Kane, IL",17089,70525,52497,10.0,130542
2013-01-01,"Kane, IL",17089,71463,54279,10.0,132873
2014-01-01,"Kane, IL",17089,72362,56073,10.0,135169
2015-01-01,"Kane, IL",17089,73249,57848,10.0,137438
2016-01-01,"Kane, IL",17089,74126,59596,11.0,139676
2017-01-01,"Kane, IL",17089,74992,61316,11.0,141881
2018-01-01,"Kane, IL",17089,75845,63008,11.0,144051
2019-01-01,"Kane, IL",17089,76685,64673,11.0,146188
