YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Kaufman, TX",48257,33943,8993,14.6,14535
1997-01-01,"Kaufman, TX",48257,35477,8990,13.8,15302
1998-01-01,"Kaufman, TX",48257,37408,8425,12.4,15929
1999-01-01,"Kaufman, TX",48257,41303,7966,11.4,16248
2000-01-01,"Kaufman, TX",48257,44091,8316,11.3,16527
2001-01-01,"Kaufman, TX",48257,43492,8746,11.4,16626
2002-01-01,"Kaufman, TX",48257,44523,9065,11.2,17216
2003-01-01,"Kaufman, TX",48257,46085,9693,11.5,17933
2004-01-01,"Kaufman, TX",48257,47575,10120,11.5,19249
2005-01-01,"Kaufman, TX",48257,49996,9386,10.7,20032
2006-01-01,"Kaufman, TX",48257,51897,11525,12.6,21147
2007-01-01,"Kaufman, TX",48257,53935,10396,11.0,22285
2008-01-01,"Kaufman, TX",48257,58497,9778,9.9,21732
2009-01-01,"Kaufman, TX",48257,55340,12428,12.2,22219
2010-01-01,"Kaufman, TX",48257,56826,11300,10.0,23812
2011-01-01,"Kaufman, TX",48257,61992,10747,9.0,24190
2012-01-01,"Kaufman, TX",48257,62278,12167,11.0,24342
2013-01-01,"Kaufman, TX",48257,61886,12512,11.0,25323
2014-01-01,"Kaufman, TX",48257,64802,11967,10.0,26133
2015-01-01,"Kaufman, TX",48257,66937,12413,10.0,26451
2016-01-01,"Kaufman, TX",48257,67190,13070,10.0,27032
2017-01-01,"Kaufman, TX",48257,68559,13012,10.0,27813
2018-01-01,"Kaufman, TX",48257,70693,13063,10.0,28337
2019-01-01,"Kaufman, TX",48257,71800,13525,10.0,28804
