YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Knox, TX",48275,21509,1114,25.5,1091
1997-01-01,"Knox, TX",48275,23780,993,23.9,1040
1998-01-01,"Knox, TX",48275,25133,1025,24.9,1041
1999-01-01,"Knox, TX",48275,25098,983,23.8,1022
2000-01-01,"Knox, TX",48275,26234,973,24.8,984
2001-01-01,"Knox, TX",48275,25832,897,23.3,977
2002-01-01,"Knox, TX",48275,25431,826,21.6,893
2003-01-01,"Knox, TX",48275,26578,790,20.9,899
2004-01-01,"Knox, TX",48275,27370,759,20.6,842
2005-01-01,"Knox, TX",48275,27865,958,26.1,854
2006-01-01,"Knox, TX",48275,30727,819,22.8,813
2007-01-01,"Knox, TX",48275,30422,695,20.3,762
2008-01-01,"Knox, TX",48275,31469,695,21.1,762
2009-01-01,"Knox, TX",48275,31382,743,23.1,763
2010-01-01,"Knox, TX",48275,31254,674,21.0,725
2011-01-01,"Knox, TX",48275,31669,673,21.0,709
2012-01-01,"Knox, TX",48275,32248,662,21.0,693
2013-01-01,"Knox, TX",48275,32739,647,21.0,678
2014-01-01,"Knox, TX",48275,33138,633,20.0,664
2015-01-01,"Knox, TX",48275,33490,619,20.0,649
2016-01-01,"Knox, TX",48275,33821,606,20.0,636
2017-01-01,"Knox, TX",48275,34140,593,20.0,623
2018-01-01,"Knox, TX",48275,34446,581,20.0,611
2019-01-01,"Knox, TX",48275,34738,570,20.0,599
