YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Lamar, TX",48277,27263,9061,20.2,8535
1997-01-01,"Lamar, TX",48277,29578,8917,19.6,8804
1998-01-01,"Lamar, TX",48277,30546,8614,18.9,9050
1999-01-01,"Lamar, TX",48277,31015,8273,17.4,9023
2000-01-01,"Lamar, TX",48277,32483,8452,17.8,9062
2001-01-01,"Lamar, TX",48277,31500,8568,17.9,8901
2002-01-01,"Lamar, TX",48277,31206,8692,18.0,9000
2003-01-01,"Lamar, TX",48277,31644,8620,17.8,9008
2004-01-01,"Lamar, TX",48277,32581,8592,17.7,9325
2005-01-01,"Lamar, TX",48277,34076,9166,19.0,9292
2006-01-01,"Lamar, TX",48277,34393,9004,18.5,9331
2007-01-01,"Lamar, TX",48277,38110,7786,16.2,9220
2008-01-01,"Lamar, TX",48277,37104,8353,17.4,9163
2009-01-01,"Lamar, TX",48277,36028,8909,18.6,9034
2010-01-01,"Lamar, TX",48277,36097,8719,18.0,9094
2011-01-01,"Lamar, TX",48277,36023,8640,18.0,9095
2012-01-01,"Lamar, TX",48277,35855,8625,18.0,9087
2013-01-01,"Lamar, TX",48277,35688,8625,18.0,9083
2014-01-01,"Lamar, TX",48277,35558,8626,18.0,9083
2015-01-01,"Lamar, TX",48277,35464,8626,18.0,9084
2016-01-01,"Lamar, TX",48277,35399,8626,18.0,9086
2017-01-01,"Lamar, TX",48277,35357,8625,18.0,9088
2018-01-01,"Lamar, TX",48277,35331,8624,18.0,9090
2019-01-01,"Lamar, TX",48277,35317,8624,18.0,9092
