YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Leflore, MS",28083,19610,12544,34.7,7709
1997-01-01,"Leflore, MS",28083,21027,10376,29.1,7488
1998-01-01,"Leflore, MS",28083,22134,9589,27.2,7312
1999-01-01,"Leflore, MS",28083,21685,9994,28.1,7290
2000-01-01,"Leflore, MS",28083,22285,10198,29.1,7062
2001-01-01,"Leflore, MS",28083,21345,10901,31.8,6915
2002-01-01,"Leflore, MS",28083,21087,11036,32.2,6859
2003-01-01,"Leflore, MS",28083,21863,9980,29.4,6689
2004-01-01,"Leflore, MS",28083,22709,10746,31.6,6418
2005-01-01,"Leflore, MS",28083,22640,12191,36.5,6254
2006-01-01,"Leflore, MS",28083,23618,14761,44.6,6205
2007-01-01,"Leflore, MS",28083,24568,13735,42.4,6046
2008-01-01,"Leflore, MS",28083,23614,12576,38.8,5888
2009-01-01,"Leflore, MS",28083,24821,12863,40.4,5756
2010-01-01,"Leflore, MS",28083,24484,12846,40.0,5649
2011-01-01,"Leflore, MS",28083,24560,13555,42.0,5531
2012-01-01,"Leflore, MS",28083,24847,14143,44.0,5408
2013-01-01,"Leflore, MS",28083,25145,14444,45.0,5288
2014-01-01,"Leflore, MS",28083,25389,14622,46.0,5172
2015-01-01,"Leflore, MS",28083,25598,14816,47.0,5059
2016-01-01,"Leflore, MS",28083,25802,15051,48.0,4950
2017-01-01,"Leflore, MS",28083,26009,15300,49.0,4842
2018-01-01,"Leflore, MS",28083,26217,15539,50.0,4736
2019-01-01,"Leflore, MS",28083,26421,15766,51.0,4633
