YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Lewis, MO",29111,26880,1452,15.4,1757
1997-01-01,"Lewis, MO",29111,29314,1376,14.6,1777
1998-01-01,"Lewis, MO",29111,30242,1349,14.2,1822
1999-01-01,"Lewis, MO",29111,30250,1382,14.1,1752
2000-01-01,"Lewis, MO",29111,31683,1298,13.4,1713
2001-01-01,"Lewis, MO",29111,31168,1336,13.9,1737
2002-01-01,"Lewis, MO",29111,31499,1301,13.7,1721
2003-01-01,"Lewis, MO",29111,32679,1266,13.3,1689
2004-01-01,"Lewis, MO",29111,33888,1382,14.6,1613
2005-01-01,"Lewis, MO",29111,35742,1571,16.8,1685
2006-01-01,"Lewis, MO",29111,36664,1596,17.0,1618
2007-01-01,"Lewis, MO",29111,36970,1632,17.6,1569
2008-01-01,"Lewis, MO",29111,39295,1579,17.2,1586
2009-01-01,"Lewis, MO",29111,37721,1708,19.0,1552
2010-01-01,"Lewis, MO",29111,39153,1785,19.0,1581
2011-01-01,"Lewis, MO",29111,39588,1851,20.0,1563
2012-01-01,"Lewis, MO",29111,40346,1890,21.0,1550
2013-01-01,"Lewis, MO",29111,41041,1930,21.0,1535
2014-01-01,"Lewis, MO",29111,41755,1970,22.0,1520
2015-01-01,"Lewis, MO",29111,42461,2013,22.0,1506
2016-01-01,"Lewis, MO",29111,43164,2057,23.0,1492
2017-01-01,"Lewis, MO",29111,43863,2103,23.0,1479
2018-01-01,"Lewis, MO",29111,44560,2150,24.0,1466
2019-01-01,"Lewis, MO",29111,45254,2196,25.0,1452
