YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Logan, KS",20109,29475,336,10.9,642
1997-01-01,"Logan, KS",20109,32148,353,11.8,653
1998-01-01,"Logan, KS",20109,33783,309,10.5,653
1999-01-01,"Logan, KS",20109,33621,289,9.6,654
2000-01-01,"Logan, KS",20109,34332,267,9.0,614
2001-01-01,"Logan, KS",20109,33997,271,9.4,578
2002-01-01,"Logan, KS",20109,32451,282,10.0,575
2003-01-01,"Logan, KS",20109,33463,254,9.1,597
2004-01-01,"Logan, KS",20109,33007,260,9.4,632
2005-01-01,"Logan, KS",20109,33055,280,10.3,589
2006-01-01,"Logan, KS",20109,36632,278,10.6,563
2007-01-01,"Logan, KS",20109,38708,248,9.7,527
2008-01-01,"Logan, KS",20109,42609,245,9.7,521
2009-01-01,"Logan, KS",20109,41120,257,10.3,558
2010-01-01,"Logan, KS",20109,42187,239,9.0,542
2011-01-01,"Logan, KS",20109,42461,230,9.0,531
2012-01-01,"Logan, KS",20109,42550,226,9.0,523
2013-01-01,"Logan, KS",20109,42706,223,9.0,517
2014-01-01,"Logan, KS",20109,42985,221,9.0,511
2015-01-01,"Logan, KS",20109,43361,219,9.0,506
2016-01-01,"Logan, KS",20109,43790,216,9.0,502
2017-01-01,"Logan, KS",20109,44232,213,9.0,497
2018-01-01,"Logan, KS",20109,44664,211,9.0,493
2019-01-01,"Logan, KS",20109,45076,208,9.0,489
