YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Lycoming, PA",42081,30467,14252,12.1,20341
1997-01-01,"Lycoming, PA",42081,32767,13790,11.9,20455
1998-01-01,"Lycoming, PA",42081,33937,13415,11.6,20344
1999-01-01,"Lycoming, PA",42081,33407,12582,10.8,20168
2000-01-01,"Lycoming, PA",42081,35124,11818,10.3,19780
2001-01-01,"Lycoming, PA",42081,34373,12766,11.2,19442
2002-01-01,"Lycoming, PA",42081,34732,12489,10.9,19094
2003-01-01,"Lycoming, PA",42081,35892,12924,11.3,18808
2004-01-01,"Lycoming, PA",42081,36891,13669,12.0,17859
2005-01-01,"Lycoming, PA",42081,38243,14088,12.6,17600
2006-01-01,"Lycoming, PA",42081,38853,15727,14.0,17497
2007-01-01,"Lycoming, PA",42081,41497,14469,13.0,17591
2008-01-01,"Lycoming, PA",42081,42005,15305,13.8,16938
2009-01-01,"Lycoming, PA",42081,40007,16335,14.7,16704
2010-01-01,"Lycoming, PA",42081,41319,16520,14.0,16906
2011-01-01,"Lycoming, PA",42081,42020,16487,14.0,16907
2012-01-01,"Lycoming, PA",42081,42269,16509,14.0,16854
2013-01-01,"Lycoming, PA",42081,42438,16557,14.0,16788
2014-01-01,"Lycoming, PA",42081,42593,16623,15.0,16722
2015-01-01,"Lycoming, PA",42081,42748,16695,15.0,16662
2016-01-01,"Lycoming, PA",42081,42900,16769,15.0,16609
2017-01-01,"Lycoming, PA",42081,43044,16839,15.0,16561
2018-01-01,"Lycoming, PA",42081,43177,16905,15.0,16518
2019-01-01,"Lycoming, PA",42081,43299,16965,15.0,16481
