YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Madison, MT",30057,27232,997,14.6,361
1997-01-01,"Madison, MT",30057,28831,905,13.0,350
1998-01-01,"Madison, MT",30057,29741,886,12.6,1174
1999-01-01,"Madison, MT",30057,30296,817,12.0,1136
2000-01-01,"Madison, MT",30057,31457,838,12.2,1134
2001-01-01,"Madison, MT",30057,31002,900,13.0,1098
2002-01-01,"Madison, MT",30057,31213,908,13.1,1093
2003-01-01,"Madison, MT",30057,31769,818,11.6,1052
2004-01-01,"Madison, MT",30057,34177,792,10.9,938
2005-01-01,"Madison, MT",30057,34466,854,11.9,944
2006-01-01,"Madison, MT",30057,37519,909,12.4,927
2007-01-01,"Madison, MT",30057,40949,823,11.2,961
2008-01-01,"Madison, MT",30057,45770,862,11.6,968
2009-01-01,"Madison, MT",30057,41345,852,11.6,938
2010-01-01,"Madison, MT",30057,41642,859,11.0,948
2011-01-01,"Madison, MT",30057,41971,856,11.0,940
2012-01-01,"Madison, MT",30057,42260,857,11.0,939
2013-01-01,"Madison, MT",30057,42532,857,11.0,935
2014-01-01,"Madison, MT",30057,42780,857,11.0,933
2015-01-01,"Madison, MT",30057,43009,857,11.0,930
2016-01-01,"Madison, MT",30057,43220,857,11.0,928
2017-01-01,"Madison, MT",30057,43415,858,11.0,926
2018-01-01,"Madison, MT",30057,43594,858,11.0,923
2019-01-01,"Madison, MT",30057,43760,858,11.0,922
