YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Marion, GA",13197,23307,1538,24.0,1575
1997-01-01,"Marion, GA",13197,25355,1479,22.0,1774
1998-01-01,"Marion, GA",13197,27445,1377,20.3,1841
1999-01-01,"Marion, GA",13197,28056,1322,18.7,1845
2000-01-01,"Marion, GA",13197,29182,1376,19.4,1853
2001-01-01,"Marion, GA",13197,28105,1445,20.4,1851
2002-01-01,"Marion, GA",13197,27828,1464,20.6,1754
2003-01-01,"Marion, GA",13197,29156,1406,20.0,1735
2004-01-01,"Marion, GA",13197,30059,1546,21.6,1715
2005-01-01,"Marion, GA",13197,31545,1744,24.4,1700
2006-01-01,"Marion, GA",13197,33286,1689,23.6,1657
2007-01-01,"Marion, GA",13197,34453,1460,21.1,1578
2008-01-01,"Marion, GA",13197,34982,1651,24.1,1475
2009-01-01,"Marion, GA",13197,33075,1697,24.7,1427
2010-01-01,"Marion, GA",13197,33952,1761,25.0,1425
2011-01-01,"Marion, GA",13197,34568,1753,25.0,1409
2012-01-01,"Marion, GA",13197,34920,1758,25.0,1385
2013-01-01,"Marion, GA",13197,35190,1773,26.0,1362
2014-01-01,"Marion, GA",13197,35439,1789,26.0,1340
2015-01-01,"Marion, GA",13197,35671,1803,26.0,1321
2016-01-01,"Marion, GA",13197,35885,1816,26.0,1302
2017-01-01,"Marion, GA",13197,36079,1828,27.0,1286
2018-01-01,"Marion, GA",13197,36257,1839,27.0,1271
2019-01-01,"Marion, GA",13197,36419,1849,27.0,1257
