YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Meigs, OH",39105,23558,5154,21.4,4277
1997-01-01,"Meigs, OH",39105,25223,4925,20.4,4194
1998-01-01,"Meigs, OH",39105,26798,4686,19.3,4202
1999-01-01,"Meigs, OH",39105,27354,4470,19.4,4172
2000-01-01,"Meigs, OH",39105,28457,4122,18.0,4172
2001-01-01,"Meigs, OH",39105,28019,4107,17.8,3977
2002-01-01,"Meigs, OH",39105,28015,3823,16.5,3931
2003-01-01,"Meigs, OH",39105,27749,3888,16.8,3771
2004-01-01,"Meigs, OH",39105,28859,4196,18.1,3670
2005-01-01,"Meigs, OH",39105,30110,4563,19.9,3606
2006-01-01,"Meigs, OH",39105,30979,4874,21.4,3566
2007-01-01,"Meigs, OH",39105,33356,4472,19.8,3578
2008-01-01,"Meigs, OH",39105,33683,4521,20.1,3571
2009-01-01,"Meigs, OH",39105,34359,4510,20.0,3618
2010-01-01,"Meigs, OH",39105,34519,4420,19.0,3642
2011-01-01,"Meigs, OH",39105,34594,4262,19.0,3649
2012-01-01,"Meigs, OH",39105,34415,4142,18.0,3637
2013-01-01,"Meigs, OH",39105,34169,4071,18.0,3609
2014-01-01,"Meigs, OH",39105,33977,4057,18.0,3572
2015-01-01,"Meigs, OH",39105,33924,4090,18.0,3533
2016-01-01,"Meigs, OH",39105,34039,4151,18.0,3500
2017-01-01,"Meigs, OH",39105,34300,4220,19.0,3476
2018-01-01,"Meigs, OH",39105,34651,4277,19.0,3464
2019-01-01,"Meigs, OH",39105,35020,4310,19.0,3463
