YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Mercer, ND",38057,44264,695,7.2,2370
1997-01-01,"Mercer, ND",38057,47215,738,7.8,2292
1998-01-01,"Mercer, ND",38057,48482,791,8.5,2305
1999-01-01,"Mercer, ND",38057,45239,677,7.8,2271
2000-01-01,"Mercer, ND",38057,46705,588,6.9,2141
2001-01-01,"Mercer, ND",38057,47067,656,7.7,2097
2002-01-01,"Mercer, ND",38057,49048,620,7.3,1999
2003-01-01,"Mercer, ND",38057,51311,623,7.4,1942
2004-01-01,"Mercer, ND",38057,53710,620,7.4,1700
2005-01-01,"Mercer, ND",38057,51719,604,7.4,1567
2006-01-01,"Mercer, ND",38057,55121,595,7.4,1468
2007-01-01,"Mercer, ND",38057,57841,606,7.7,1415
2008-01-01,"Mercer, ND",38057,63570,554,7.2,1357
2009-01-01,"Mercer, ND",38057,60631,557,7.2,1355
2010-01-01,"Mercer, ND",38057,60801,567,7.0,1300
2011-01-01,"Mercer, ND",38057,61481,563,7.0,1245
2012-01-01,"Mercer, ND",38057,62266,555,7.0,1190
2013-01-01,"Mercer, ND",38057,63074,548,7.0,1136
2014-01-01,"Mercer, ND",38057,63881,542,7.0,1083
2015-01-01,"Mercer, ND",38057,64670,537,7.0,1033
2016-01-01,"Mercer, ND",38057,65430,532,7.0,985
2017-01-01,"Mercer, ND",38057,66158,527,7.0,939
2018-01-01,"Mercer, ND",38057,66854,523,7.0,895
2019-01-01,"Mercer, ND",38057,67519,518,7.0,853
