YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Monroe, NY",36055,41278,85597,12.0,117236
1997-01-01,"Monroe, NY",36055,41954,88707,12.5,122015
1998-01-01,"Monroe, NY",36055,41945,90561,12.8,124397
1999-01-01,"Monroe, NY",36055,41875,84336,11.7,125345
2000-01-01,"Monroe, NY",36055,43766,77382,10.8,125758
2001-01-01,"Monroe, NY",36055,43273,77096,10.8,125509
2002-01-01,"Monroe, NY",36055,43435,80923,11.3,123960
2003-01-01,"Monroe, NY",36055,44345,91004,12.7,123629
2004-01-01,"Monroe, NY",36055,46412,93631,13.1,123747
2005-01-01,"Monroe, NY",36055,45987,88339,12.6,120115
2006-01-01,"Monroe, NY",36055,47520,92591,13.2,118831
2007-01-01,"Monroe, NY",36055,50050,93031,13.3,119567
2008-01-01,"Monroe, NY",36055,51799,92057,13.1,116805
2009-01-01,"Monroe, NY",36055,50283,94494,13.4,115397
2010-01-01,"Monroe, NY",36055,50734,97597,13.0,115223
2011-01-01,"Monroe, NY",36055,51501,99122,14.0,114713
2012-01-01,"Monroe, NY",36055,52311,100325,14.0,113922
2013-01-01,"Monroe, NY",36055,53121,101639,14.0,112992
2014-01-01,"Monroe, NY",36055,53937,103118,14.0,112000
2015-01-01,"Monroe, NY",36055,54770,104719,15.0,110975
2016-01-01,"Monroe, NY",36055,55626,106402,15.0,109921
2017-01-01,"Monroe, NY",36055,56508,108148,15.0,108836
2018-01-01,"Monroe, NY",36055,57420,109950,15.0,107718
2019-01-01,"Monroe, NY",36055,58360,111809,16.0,106566
