YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Montezuma, CO",8083,30214,3660,16.5,4666
1997-01-01,"Montezuma, CO",8083,30882,4007,17.8,4824
1998-01-01,"Montezuma, CO",8083,32319,4021,17.6,4853
1999-01-01,"Montezuma, CO",8083,31898,3661,15.5,4747
2000-01-01,"Montezuma, CO",8083,33305,3812,16.2,4844
2001-01-01,"Montezuma, CO",8083,32717,3625,15.3,4637
2002-01-01,"Montezuma, CO",8083,32443,3857,16.0,4659
2003-01-01,"Montezuma, CO",8083,33111,3661,14.9,4595
2004-01-01,"Montezuma, CO",8083,34416,3547,14.5,4544
2005-01-01,"Montezuma, CO",8083,35329,4164,17.2,4535
2006-01-01,"Montezuma, CO",8083,37389,4463,18.0,4432
2007-01-01,"Montezuma, CO",8083,41425,3488,14.0,4245
2008-01-01,"Montezuma, CO",8083,44860,4068,16.3,4166
2009-01-01,"Montezuma, CO",8083,40859,4238,16.9,4188
2010-01-01,"Montezuma, CO",8083,42733,4099,16.0,4137
2011-01-01,"Montezuma, CO",8083,43772,4160,16.0,4090
2012-01-01,"Montezuma, CO",8083,44728,4194,16.0,4037
2013-01-01,"Montezuma, CO",8083,45661,4232,16.0,3986
2014-01-01,"Montezuma, CO",8083,46578,4269,16.0,3936
2015-01-01,"Montezuma, CO",8083,47478,4306,16.0,3887
2016-01-01,"Montezuma, CO",8083,48364,4341,16.0,3839
2017-01-01,"Montezuma, CO",8083,49235,4376,16.0,3791
2018-01-01,"Montezuma, CO",8083,50091,4411,16.0,3744
2019-01-01,"Montezuma, CO",8083,50933,4445,17.0,3698
