YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Montgomery, AR",5097,21870,1842,21.7,1337
1997-01-01,"Montgomery, AR",5097,23928,1858,21.3,1402
1998-01-01,"Montgomery, AR",5097,25245,1769,20.0,1468
1999-01-01,"Montgomery, AR",5097,27249,1540,16.8,1448
2000-01-01,"Montgomery, AR",5097,28448,1575,17.2,1424
2001-01-01,"Montgomery, AR",5097,27771,1759,19.5,1424
2002-01-01,"Montgomery, AR",5097,27041,1772,19.6,1395
2003-01-01,"Montgomery, AR",5097,27051,1591,17.3,1408
2004-01-01,"Montgomery, AR",5097,28846,1500,16.3,1484
2005-01-01,"Montgomery, AR",5097,31822,1691,18.5,1221
2006-01-01,"Montgomery, AR",5097,31069,1773,19.4,1262
2007-01-01,"Montgomery, AR",5097,34925,1607,18.0,1193
2008-01-01,"Montgomery, AR",5097,34343,1581,17.7,1182
2009-01-01,"Montgomery, AR",5097,32238,1821,20.5,1156
2010-01-01,"Montgomery, AR",5097,32012,1739,19.0,1209
2011-01-01,"Montgomery, AR",5097,31710,1733,19.0,1215
2012-01-01,"Montgomery, AR",5097,31533,1728,19.0,1228
2013-01-01,"Montgomery, AR",5097,31418,1723,19.0,1235
2014-01-01,"Montgomery, AR",5097,31354,1719,19.0,1241
2015-01-01,"Montgomery, AR",5097,31323,1715,19.0,1244
2016-01-01,"Montgomery, AR",5097,31313,1713,19.0,1246
2017-01-01,"Montgomery, AR",5097,31314,1711,19.0,1247
2018-01-01,"Montgomery, AR",5097,31322,1710,19.0,1248
2019-01-01,"Montgomery, AR",5097,31331,1710,19.0,1248
