YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Montgomery, MD",24031,59652,44078,5.4,113429
1997-01-01,"Montgomery, MD",24031,62130,47141,5.6,120291
1998-01-01,"Montgomery, MD",24031,65691,45718,5.3,122505
1999-01-01,"Montgomery, MD",24031,68638,45938,5.3,125023
2000-01-01,"Montgomery, MD",24031,74652,45036,5.1,127933
2001-01-01,"Montgomery, MD",24031,75546,46101,5.1,130720
2002-01-01,"Montgomery, MD",24031,75833,50651,5.6,134180
2003-01-01,"Montgomery, MD",24031,76546,58975,6.4,136895
2004-01-01,"Montgomery, MD",24031,76957,60179,6.5,139201
2005-01-01,"Montgomery, MD",24031,81874,43745,4.8,139393
2006-01-01,"Montgomery, MD",24031,87019,44660,4.8,139398
2007-01-01,"Montgomery, MD",24031,91440,47063,5.1,137814
2008-01-01,"Montgomery, MD",24031,93895,54321,5.8,137717
2009-01-01,"Montgomery, MD",24031,93774,64607,6.7,139282
2010-01-01,"Montgomery, MD",24031,88986,72234,7.0,142542
2011-01-01,"Montgomery, MD",24031,85384,71309,7.0,145302
2012-01-01,"Montgomery, MD",24031,84225,65068,6.0,146797
2013-01-01,"Montgomery, MD",24031,85818,57518,6.0,146820
2014-01-01,"Montgomery, MD",24031,89204,52434,5.0,145815
2015-01-01,"Montgomery, MD",24031,92761,51826,5.0,144581
2016-01-01,"Montgomery, MD",24031,95037,55347,5.0,143865
2017-01-01,"Montgomery, MD",24031,95374,60847,6.0,144035
2018-01-01,"Montgomery, MD",24031,94071,65640,6.0,144986
2019-01-01,"Montgomery, MD",24031,92092,67789,6.0,146266
