YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Morehouse, LA",22067,21423,9074,28.6,6272
1997-01-01,"Morehouse, LA",22067,22387,7752,24.8,6025
1998-01-01,"Morehouse, LA",22067,23033,7763,25.0,6181
1999-01-01,"Morehouse, LA",22067,24266,7588,25.1,5635
2000-01-01,"Morehouse, LA",22067,25795,6970,23.5,5648
2001-01-01,"Morehouse, LA",22067,25031,7230,24.5,5491
2002-01-01,"Morehouse, LA",22067,24957,7095,23.7,5378
2003-01-01,"Morehouse, LA",22067,26237,6914,23.3,5255
2004-01-01,"Morehouse, LA",22067,26354,7301,25.0,5153
2005-01-01,"Morehouse, LA",22067,27224,8165,28.2,5109
2006-01-01,"Morehouse, LA",22067,28562,7965,27.7,5056
2007-01-01,"Morehouse, LA",22067,28847,8601,31.0,4977
2008-01-01,"Morehouse, LA",22067,32168,6949,25.2,4816
2009-01-01,"Morehouse, LA",22067,28909,7053,25.9,4746
2010-01-01,"Morehouse, LA",22067,30943,6831,24.0,4702
2011-01-01,"Morehouse, LA",22067,29232,7547,27.0,4680
2012-01-01,"Morehouse, LA",22067,31399,7199,26.0,4662
2013-01-01,"Morehouse, LA",22067,30044,7622,28.0,4622
2014-01-01,"Morehouse, LA",22067,31923,7211,26.0,4585
2015-01-01,"Morehouse, LA",22067,30703,7552,27.0,4540
2016-01-01,"Morehouse, LA",22067,32310,7205,26.0,4505
2017-01-01,"Morehouse, LA",22067,31238,7516,28.0,4467
2018-01-01,"Morehouse, LA",22067,32638,7222,26.0,4439
2019-01-01,"Morehouse, LA",22067,31709,7495,28.0,4406
