YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Newton, MS",28101,24946,4088,19.3,3876
1997-01-01,"Newton, MS",28101,25659,3490,16.4,3798
1998-01-01,"Newton, MS",28101,27367,3569,16.7,3762
1999-01-01,"Newton, MS",28101,28296,3777,17.7,3756
2000-01-01,"Newton, MS",28101,30001,3495,16.4,3688
2001-01-01,"Newton, MS",28101,28590,3811,18.0,3652
2002-01-01,"Newton, MS",28101,28622,3736,17.4,3698
2003-01-01,"Newton, MS",28101,29995,3654,16.9,3712
2004-01-01,"Newton, MS",28101,30973,3846,17.7,3635
2005-01-01,"Newton, MS",28101,31869,4458,20.7,3710
2006-01-01,"Newton, MS",28101,31948,4292,19.8,3869
2007-01-01,"Newton, MS",28101,35076,3711,17.2,3852
2008-01-01,"Newton, MS",28101,34768,4134,19.2,3897
2009-01-01,"Newton, MS",28101,34715,4079,18.8,3840
2010-01-01,"Newton, MS",28101,35566,4145,19.0,3852
2011-01-01,"Newton, MS",28101,36010,4173,19.0,3873
2012-01-01,"Newton, MS",28101,36422,4175,19.0,3890
2013-01-01,"Newton, MS",28101,36794,4179,19.0,3901
2014-01-01,"Newton, MS",28101,37099,4186,19.0,3910
2015-01-01,"Newton, MS",28101,37349,4193,19.0,3917
2016-01-01,"Newton, MS",28101,37562,4199,19.0,3923
2017-01-01,"Newton, MS",28101,37748,4205,19.0,3929
2018-01-01,"Newton, MS",28101,37909,4210,19.0,3933
2019-01-01,"Newton, MS",28101,38051,4215,19.0,3937
