YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Nuckolls, NE",31129,25897,652,12.1,934
1997-01-01,"Nuckolls, NE",31129,28679,593,11.4,937
1998-01-01,"Nuckolls, NE",31129,29040,658,12.8,937
1999-01-01,"Nuckolls, NE",31129,29873,538,10.6,878
2000-01-01,"Nuckolls, NE",31129,30504,527,10.7,868
2001-01-01,"Nuckolls, NE",31129,30489,529,11.0,819
2002-01-01,"Nuckolls, NE",31129,29105,553,11.4,512
2003-01-01,"Nuckolls, NE",31129,30938,533,11.1,519
2004-01-01,"Nuckolls, NE",31129,32278,486,10.3,1173
2005-01-01,"Nuckolls, NE",31129,32655,544,11.6,1151
2006-01-01,"Nuckolls, NE",31129,32781,593,12.9,1112
2007-01-01,"Nuckolls, NE",31129,32777,525,11.7,0
2008-01-01,"Nuckolls, NE",31129,32931,583,13.2,462
2009-01-01,"Nuckolls, NE",31129,34894,840,19.6,454
2010-01-01,"Nuckolls, NE",31129,38297,1003,24.0,-1028
2011-01-01,"Nuckolls, NE",31129,43683,1283,33.0,-2124
2012-01-01,"Nuckolls, NE",31129,52247,1766,48.0,-4153
2013-01-01,"Nuckolls, NE",31129,66231,2568,72.0,-7471
2014-01-01,"Nuckolls, NE",31129,89161,3889,112.0,-12925
2015-01-01,"Nuckolls, NE",31129,126798,6058,177.0,-21881
2016-01-01,"Nuckolls, NE",31129,188584,9621,285.0,-36583
2017-01-01,"Nuckolls, NE",31129,290018,15470,462.0,-60719
2018-01-01,"Nuckolls, NE",31129,456540,25073,752.0,-100343
2019-01-01,"Nuckolls, NE",31129,729917,40837,1228.0,-165392
