YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Oktibbeha, MS",28105,24653,8284,23.4,5720
1997-01-01,"Oktibbeha, MS",28105,27224,7125,20.0,5711
1998-01-01,"Oktibbeha, MS",28105,29087,6451,18.1,5777
1999-01-01,"Oktibbeha, MS",28105,25998,7157,18.4,5678
2000-01-01,"Oktibbeha, MS",28105,27190,7546,19.5,5583
2001-01-01,"Oktibbeha, MS",28105,26437,8610,22.3,5451
2002-01-01,"Oktibbeha, MS",28105,26416,8768,22.6,5340
2003-01-01,"Oktibbeha, MS",28105,27560,8086,21.4,5086
2004-01-01,"Oktibbeha, MS",28105,28263,8445,22.3,4808
2005-01-01,"Oktibbeha, MS",28105,28370,10608,28.3,4850
2006-01-01,"Oktibbeha, MS",28105,30841,10561,27.9,4891
2007-01-01,"Oktibbeha, MS",28105,31688,12522,31.4,4965
2008-01-01,"Oktibbeha, MS",28105,32031,13238,33.2,4948
2009-01-01,"Oktibbeha, MS",28105,29875,13177,32.9,5067
2010-01-01,"Oktibbeha, MS",28105,30409,12657,31.0,5077
2011-01-01,"Oktibbeha, MS",28105,30416,12509,31.0,5100
2012-01-01,"Oktibbeha, MS",28105,30271,12413,31.0,5115
2013-01-01,"Oktibbeha, MS",28105,30133,12305,30.0,5121
2014-01-01,"Oktibbeha, MS",28105,30041,12200,30.0,5121
2015-01-01,"Oktibbeha, MS",28105,29992,12115,30.0,5118
2016-01-01,"Oktibbeha, MS",28105,29972,12056,30.0,5113
2017-01-01,"Oktibbeha, MS",28105,29969,12021,30.0,5109
2018-01-01,"Oktibbeha, MS",28105,29976,12007,30.0,5106
2019-01-01,"Oktibbeha, MS",28105,29988,12005,30.0,5103
