YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Onondaga, NY",36067,37034,55202,12.0,78484
1997-01-01,"Onondaga, NY",36067,38447,57522,12.7,79803
1998-01-01,"Onondaga, NY",36067,39947,57805,12.8,79944
1999-01-01,"Onondaga, NY",36067,39114,53303,11.8,80095
2000-01-01,"Onondaga, NY",36067,41197,48720,10.8,79893
2001-01-01,"Onondaga, NY",36067,40681,48978,10.9,79333
2002-01-01,"Onondaga, NY",36067,41198,49555,11.0,78522
2003-01-01,"Onondaga, NY",36067,41843,54607,12.1,78247
2004-01-01,"Onondaga, NY",36067,43474,54799,12.2,79022
2005-01-01,"Onondaga, NY",36067,45162,59463,13.4,77912
2006-01-01,"Onondaga, NY",36067,46128,60824,13.7,77683
2007-01-01,"Onondaga, NY",36067,48807,56558,12.8,76840
2008-01-01,"Onondaga, NY",36067,50586,51683,11.7,75289
2009-01-01,"Onondaga, NY",36067,49886,60792,13.7,74824
2010-01-01,"Onondaga, NY",36067,51579,64399,14.0,74888
2011-01-01,"Onondaga, NY",36067,53550,65534,14.0,74574
2012-01-01,"Onondaga, NY",36067,55624,65790,15.0,73871
2013-01-01,"Onondaga, NY",36067,57672,66751,15.0,72981
2014-01-01,"Onondaga, NY",36067,59797,68603,15.0,72061
2015-01-01,"Onondaga, NY",36067,62102,70989,16.0,71147
2016-01-01,"Onondaga, NY",36067,64645,73537,16.0,70201
2017-01-01,"Onondaga, NY",36067,67439,76127,17.0,69175
2018-01-01,"Onondaga, NY",36067,70481,78822,18.0,68044
2019-01-01,"Onondaga, NY",36067,73781,81729,19.0,66801
