YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Panola, MS",28107,22928,8491,25.7,6758
1997-01-01,"Panola, MS",28107,23572,7290,21.6,6631
1998-01-01,"Panola, MS",28107,24513,7090,20.7,6784
1999-01-01,"Panola, MS",28107,26055,7402,21.6,6698
2000-01-01,"Panola, MS",28107,27282,7055,20.5,6716
2001-01-01,"Panola, MS",28107,26698,7523,21.7,6696
2002-01-01,"Panola, MS",28107,26680,7688,21.8,6726
2003-01-01,"Panola, MS",28107,27894,7390,20.9,6451
2004-01-01,"Panola, MS",28107,28541,7833,22.2,6416
2005-01-01,"Panola, MS",28107,29917,8503,24.6,6556
2006-01-01,"Panola, MS",28107,31769,8589,24.5,6540
2007-01-01,"Panola, MS",28107,32514,9976,28.5,6505
2008-01-01,"Panola, MS",28107,34866,8866,25.1,6385
2009-01-01,"Panola, MS",28107,30488,9869,28.4,6285
2010-01-01,"Panola, MS",28107,32451,9087,26.0,6319
2011-01-01,"Panola, MS",28107,31606,9569,27.0,6404
2012-01-01,"Panola, MS",28107,32092,9297,26.0,6387
2013-01-01,"Panola, MS",28107,31957,9405,27.0,6397
2014-01-01,"Panola, MS",28107,32140,9357,26.0,6388
2015-01-01,"Panola, MS",28107,32171,9403,27.0,6387
2016-01-01,"Panola, MS",28107,32269,9412,27.0,6382
2017-01-01,"Panola, MS",28107,32324,9441,27.0,6379
2018-01-01,"Panola, MS",28107,32388,9458,27.0,6376
2019-01-01,"Panola, MS",28107,32435,9479,27.0,6374
