YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Pierce, GA",13229,27372,2974,19.3,2907
1997-01-01,"Pierce, GA",13229,28318,3164,19.9,3048
1998-01-01,"Pierce, GA",13229,29620,2961,18.5,3090
1999-01-01,"Pierce, GA",13229,29613,2737,17.6,3236
2000-01-01,"Pierce, GA",13229,30926,2756,17.6,3214
2001-01-01,"Pierce, GA",13229,29980,2814,17.8,3240
2002-01-01,"Pierce, GA",13229,30295,2722,16.7,3232
2003-01-01,"Pierce, GA",13229,31832,2753,16.5,3135
2004-01-01,"Pierce, GA",13229,32533,2870,16.8,3283
2005-01-01,"Pierce, GA",13229,32218,3448,20.4,3407
2006-01-01,"Pierce, GA",13229,34524,3237,18.7,3412
2007-01-01,"Pierce, GA",13229,37173,3178,17.9,3437
2008-01-01,"Pierce, GA",13229,36721,3157,17.6,3482
2009-01-01,"Pierce, GA",13229,35475,3708,20.2,3563
2010-01-01,"Pierce, GA",13229,38655,3749,19.0,3577
2011-01-01,"Pierce, GA",13229,40094,3874,20.0,3677
2012-01-01,"Pierce, GA",13229,41737,4001,20.0,3762
2013-01-01,"Pierce, GA",13229,43412,4150,20.0,3849
2014-01-01,"Pierce, GA",13229,45202,4319,21.0,3940
2015-01-01,"Pierce, GA",13229,47133,4507,21.0,4038
2016-01-01,"Pierce, GA",13229,49228,4715,21.0,4143
2017-01-01,"Pierce, GA",13229,51506,4941,22.0,4257
2018-01-01,"Pierce, GA",13229,53984,5188,23.0,4382
2019-01-01,"Pierce, GA",13229,56679,5457,23.0,4517
