YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Preble, OH",39135,34682,3449,8.0,8051
1997-01-01,"Preble, OH",39135,37214,3498,8.0,8260
1998-01-01,"Preble, OH",39135,39109,3436,7.8,8212
1999-01-01,"Preble, OH",39135,40583,3221,7.6,8103
2000-01-01,"Preble, OH",39135,42718,3053,7.2,8103
2001-01-01,"Preble, OH",39135,41806,3251,7.7,7936
2002-01-01,"Preble, OH",39135,41636,3299,7.8,7978
2003-01-01,"Preble, OH",39135,41809,3165,7.5,7669
2004-01-01,"Preble, OH",39135,43281,3412,8.1,7534
2005-01-01,"Preble, OH",39135,44273,3656,8.7,7435
2006-01-01,"Preble, OH",39135,47545,3795,9.1,7352
2007-01-01,"Preble, OH",39135,48323,3757,9.1,7292
2008-01-01,"Preble, OH",39135,49237,3443,8.4,7146
2009-01-01,"Preble, OH",39135,47018,4190,10.3,7036
2010-01-01,"Preble, OH",39135,49944,3755,9.0,7179
2011-01-01,"Preble, OH",39135,50096,3891,9.0,6976
2012-01-01,"Preble, OH",39135,50986,3866,9.0,6925
2013-01-01,"Preble, OH",39135,51518,3960,9.0,6819
2014-01-01,"Preble, OH",39135,52319,4004,9.0,6747
2015-01-01,"Preble, OH",39135,53073,4062,10.0,6662
2016-01-01,"Preble, OH",39135,53864,4108,10.0,6581
2017-01-01,"Preble, OH",39135,54630,4157,10.0,6498
2018-01-01,"Preble, OH",39135,55397,4205,10.0,6416
2019-01-01,"Preble, OH",39135,56159,4255,10.0,6333
