YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Rapides, LA",22079,25638,27196,22.1,24488
1997-01-01,"Rapides, LA",22079,27231,24769,20.0,24850
1998-01-01,"Rapides, LA",22079,28424,25020,20.1,25519
1999-01-01,"Rapides, LA",22079,28972,24619,20.0,23914
2000-01-01,"Rapides, LA",22079,30636,22684,18.5,23990
2001-01-01,"Rapides, LA",22079,29742,23518,19.2,23951
2002-01-01,"Rapides, LA",22079,30468,23228,18.7,23514
2003-01-01,"Rapides, LA",22079,31651,23897,19.2,23044
2004-01-01,"Rapides, LA",22079,32569,25240,20.2,22696
2005-01-01,"Rapides, LA",22079,33732,25957,21.2,22893
2006-01-01,"Rapides, LA",22079,34923,26156,20.8,24016
2007-01-01,"Rapides, LA",22079,36938,24894,19.8,23805
2008-01-01,"Rapides, LA",22079,41200,23265,18.0,23421
2009-01-01,"Rapides, LA",22079,38872,20090,15.5,23621
2010-01-01,"Rapides, LA",22079,36617,19759,15.0,22584
2011-01-01,"Rapides, LA",22079,34456,21038,16.0,22042
2012-01-01,"Rapides, LA",22079,33338,22859,18.0,22070
2013-01-01,"Rapides, LA",22079,33467,24262,19.0,22479
2014-01-01,"Rapides, LA",22079,34441,24756,19.0,22971
2015-01-01,"Rapides, LA",22079,35607,24394,19.0,23303
2016-01-01,"Rapides, LA",22079,36422,23587,18.0,23376
2017-01-01,"Rapides, LA",22079,36654,22813,18.0,23231
2018-01-01,"Rapides, LA",22079,36391,22397,17.0,22995
2019-01-01,"Rapides, LA",22079,35909,22408,17.0,22794
