YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Reynolds, MO",29179,21930,1593,23.7,1347
1997-01-01,"Reynolds, MO",29179,22584,1558,23.3,1361
1998-01-01,"Reynolds, MO",29179,23466,1405,21.1,1359
1999-01-01,"Reynolds, MO",29179,24626,1312,19.8,1326
2000-01-01,"Reynolds, MO",29179,25794,1308,20.1,1313
2001-01-01,"Reynolds, MO",29179,24650,1378,21.2,1282
2002-01-01,"Reynolds, MO",29179,24712,1364,20.9,1263
2003-01-01,"Reynolds, MO",29179,25747,1183,18.1,1233
2004-01-01,"Reynolds, MO",29179,27544,1191,18.3,1197
2005-01-01,"Reynolds, MO",29179,29408,1464,22.9,1148
2006-01-01,"Reynolds, MO",29179,29625,1481,23.0,1190
2007-01-01,"Reynolds, MO",29179,29820,1402,22.1,1167
2008-01-01,"Reynolds, MO",29179,30482,1314,21.0,1127
2009-01-01,"Reynolds, MO",29179,29519,1524,25.0,1152
2010-01-01,"Reynolds, MO",29179,25193,1329,21.0,1196
2011-01-01,"Reynolds, MO",29179,21196,1153,18.0,1231
2012-01-01,"Reynolds, MO",29179,18634,1035,16.0,1255
2013-01-01,"Reynolds, MO",29179,18193,1003,15.0,1263
2014-01-01,"Reynolds, MO",29179,19940,1059,15.0,1254
2015-01-01,"Reynolds, MO",29179,23315,1184,17.0,1231
2016-01-01,"Reynolds, MO",29179,27302,1340,20.0,1202
2017-01-01,"Reynolds, MO",29179,30740,1480,22.0,1175
2018-01-01,"Reynolds, MO",29179,32654,1564,24.0,1157
2019-01-01,"Reynolds, MO",29179,32535,1569,25.0,1153
