YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Ross, OH",39141,30750,10376,15.1,12314
1997-01-01,"Ross, OH",39141,33580,10257,14.6,12376
1998-01-01,"Ross, OH",39141,36015,9631,13.7,12349
1999-01-01,"Ross, OH",39141,36382,9305,13.6,12444
2000-01-01,"Ross, OH",39141,37922,8838,12.8,12444
2001-01-01,"Ross, OH",39141,36993,9230,13.3,12424
2002-01-01,"Ross, OH",39141,37165,9034,13.0,12298
2003-01-01,"Ross, OH",39141,37957,8370,12.0,12490
2004-01-01,"Ross, OH",39141,38939,9161,13.1,12156
2005-01-01,"Ross, OH",39141,38285,10053,14.5,11830
2006-01-01,"Ross, OH",39141,38764,11245,16.1,12025
2007-01-01,"Ross, OH",39141,42660,9543,13.8,11943
2008-01-01,"Ross, OH",39141,44028,11388,16.3,12104
2009-01-01,"Ross, OH",39141,41672,12740,18.3,12046
2010-01-01,"Ross, OH",39141,42346,12487,17.0,12068
2011-01-01,"Ross, OH",39141,42680,12424,17.0,12078
2012-01-01,"Ross, OH",39141,42860,12424,17.0,12081
2013-01-01,"Ross, OH",39141,42974,12450,17.0,12081
2014-01-01,"Ross, OH",39141,43055,12481,17.0,12080
2015-01-01,"Ross, OH",39141,43117,12512,18.0,12080
2016-01-01,"Ross, OH",39141,43169,12541,18.0,12079
2017-01-01,"Ross, OH",39141,43212,12566,18.0,12078
2018-01-01,"Ross, OH",39141,43248,12588,18.0,12077
2019-01-01,"Ross, OH",39141,43280,12608,18.0,12076
