YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Salt Lake, UT",49035,40420,73245,8.8,182900
1997-01-01,"Salt Lake, UT",49035,44118,77360,9.1,181361
1998-01-01,"Salt Lake, UT",49035,45484,78046,9.1,181966
1999-01-01,"Salt Lake, UT",49035,46183,69159,7.8,181130
2000-01-01,"Salt Lake, UT",49035,48688,73343,8.2,179069
2001-01-01,"Salt Lake, UT",49035,48348,80691,8.9,177222
2002-01-01,"Salt Lake, UT",49035,47892,86305,9.4,176334
2003-01-01,"Salt Lake, UT",49035,49003,90075,9.8,177101
2004-01-01,"Salt Lake, UT",49035,50420,95394,10.2,177592
2005-01-01,"Salt Lake, UT",49035,48398,92956,10.0,176216
2006-01-01,"Salt Lake, UT",49035,52951,102636,10.6,178332
2007-01-01,"Salt Lake, UT",49035,56378,89473,9.0,182067
2008-01-01,"Salt Lake, UT",49035,59168,89216,8.8,198932
2009-01-01,"Salt Lake, UT",49035,56954,108994,10.7,191513
2010-01-01,"Salt Lake, UT",49035,60278,118939,11.0,190041
2011-01-01,"Salt Lake, UT",49035,62311,123659,11.0,190631
2012-01-01,"Salt Lake, UT",49035,64986,130063,12.0,192107
2013-01-01,"Salt Lake, UT",49035,67573,136735,12.0,194093
2014-01-01,"Salt Lake, UT",49035,70412,144554,12.0,196285
2015-01-01,"Salt Lake, UT",49035,73451,153224,13.0,198630
2016-01-01,"Salt Lake, UT",49035,76771,162826,14.0,201128
2017-01-01,"Salt Lake, UT",49035,80391,173333,14.0,203815
2018-01-01,"Salt Lake, UT",49035,84347,184811,15.0,206728
2019-01-01,"Salt Lake, UT",49035,88666,197331,16.0,209902
