YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Sarpy, NE",31153,43609,4461,3.8,17627
1997-01-01,"Sarpy, NE",31153,49644,4981,4.1,18284
1998-01-01,"Sarpy, NE",31153,52368,5703,4.6,18790
1999-01-01,"Sarpy, NE",31153,53763,5682,4.6,19178
2000-01-01,"Sarpy, NE",31153,56704,5340,4.3,19442
2001-01-01,"Sarpy, NE",31153,56358,5914,4.6,19371
2002-01-01,"Sarpy, NE",31153,57433,6644,5.0,19401
2003-01-01,"Sarpy, NE",31153,58635,7421,5.5,19378
2004-01-01,"Sarpy, NE",31153,60782,7462,5.4,20076
2005-01-01,"Sarpy, NE",31153,60217,6973,5.1,20598
2006-01-01,"Sarpy, NE",31153,62148,7339,5.2,21168
2007-01-01,"Sarpy, NE",31153,63776,8999,6.2,21517
2008-01-01,"Sarpy, NE",31153,64840,7971,5.4,22462
2009-01-01,"Sarpy, NE",31153,67541,7996,5.3,23037
2010-01-01,"Sarpy, NE",31153,69110,9145,5.0,23418
2011-01-01,"Sarpy, NE",31153,71183,9629,6.0,24177
2012-01-01,"Sarpy, NE",31153,73572,10111,6.0,25035
2013-01-01,"Sarpy, NE",31153,76244,10679,6.0,25970
2014-01-01,"Sarpy, NE",31153,79217,11330,6.0,27002
2015-01-01,"Sarpy, NE",31153,82524,12060,6.0,28146
2016-01-01,"Sarpy, NE",31153,86203,12875,7.0,29419
2017-01-01,"Sarpy, NE",31153,90297,13781,7.0,30835
2018-01-01,"Sarpy, NE",31153,94851,14790,7.0,32411
2019-01-01,"Sarpy, NE",31153,99919,15912,8.0,34164
