YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Sevier, TN",47155,29931,8439,13.6,10068
1997-01-01,"Sevier, TN",47155,30189,9029,13.9,11032
1998-01-01,"Sevier, TN",47155,31291,8756,13.2,11231
1999-01-01,"Sevier, TN",47155,32772,8823,12.4,11612
2000-01-01,"Sevier, TN",47155,34970,9076,12.5,11909
2001-01-01,"Sevier, TN",47155,34309,9457,12.8,12074
2002-01-01,"Sevier, TN",47155,34561,9815,13.0,12635
2003-01-01,"Sevier, TN",47155,35873,9554,12.4,12400
2004-01-01,"Sevier, TN",47155,37105,10633,13.4,13054
2005-01-01,"Sevier, TN",47155,37909,11299,14.4,13787
2006-01-01,"Sevier, TN",47155,39394,11668,14.5,14213
2007-01-01,"Sevier, TN",47155,40312,10495,12.7,14522
2008-01-01,"Sevier, TN",47155,40378,11097,13.2,14358
2009-01-01,"Sevier, TN",47155,41466,11907,13.9,14446
2010-01-01,"Sevier, TN",47155,41975,12429,14.0,15224
2011-01-01,"Sevier, TN",47155,42918,12255,14.0,15530
2012-01-01,"Sevier, TN",47155,43499,12253,13.0,15635
2013-01-01,"Sevier, TN",47155,43982,12436,13.0,15773
2014-01-01,"Sevier, TN",47155,44480,12655,14.0,15974
2015-01-01,"Sevier, TN",47155,44992,12832,14.0,16187
2016-01-01,"Sevier, TN",47155,45484,12971,14.0,16379
2017-01-01,"Sevier, TN",47155,45943,13099,14.0,16549
2018-01-01,"Sevier, TN",47155,46372,13227,14.0,16709
2019-01-01,"Sevier, TN",47155,46778,13351,14.0,16862
