YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Seward, NE",31159,36215,1079,7.0,2852
1997-01-01,"Seward, NE",31159,40984,1108,7.2,2909
1998-01-01,"Seward, NE",31159,41728,1117,7.3,2885
1999-01-01,"Seward, NE",31159,42561,1064,6.9,2909
2000-01-01,"Seward, NE",31159,44312,985,6.4,2788
2001-01-01,"Seward, NE",31159,43715,1141,7.4,2763
2002-01-01,"Seward, NE",31159,43717,1176,7.6,2652
2003-01-01,"Seward, NE",31159,45149,1134,7.3,2626
2004-01-01,"Seward, NE",31159,47309,1081,7.0,2616
2005-01-01,"Seward, NE",31159,47912,1158,7.6,2649
2006-01-01,"Seward, NE",31159,49055,1166,7.6,2624
2007-01-01,"Seward, NE",31159,52419,1301,8.6,2644
2008-01-01,"Seward, NE",31159,56584,1192,7.7,2628
2009-01-01,"Seward, NE",31159,56195,1278,8.4,2587
2010-01-01,"Seward, NE",31159,58178,1262,8.0,2557
2011-01-01,"Seward, NE",31159,59122,1279,8.0,2510
2012-01-01,"Seward, NE",31159,60472,1299,8.0,2477
2013-01-01,"Seward, NE",31159,61861,1316,8.0,2444
2014-01-01,"Seward, NE",31159,63289,1334,8.0,2412
2015-01-01,"Seward, NE",31159,64756,1352,8.0,2381
2016-01-01,"Seward, NE",31159,66248,1370,8.0,2350
2017-01-01,"Seward, NE",31159,67763,1388,9.0,2318
2018-01-01,"Seward, NE",31159,69297,1406,9.0,2287
2019-01-01,"Seward, NE",31159,70848,1425,9.0,2256
