YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"St. Tammany, LA",22103,41277,20892,11.6,30487
1997-01-01,"St. Tammany, LA",22103,43653,18880,9.9,31984
1998-01-01,"St. Tammany, LA",22103,45966,19786,10.2,33100
1999-01-01,"St. Tammany, LA",22103,47099,21089,11.1,32536
2000-01-01,"St. Tammany, LA",22103,50376,19537,10.1,32553
2001-01-01,"St. Tammany, LA",22103,49414,22017,11.0,32261
2002-01-01,"St. Tammany, LA",22103,50415,21416,10.4,32392
2003-01-01,"St. Tammany, LA",22103,51175,22364,10.5,32834
2004-01-01,"St. Tammany, LA",22103,51087,24431,11.2,34750
2005-01-01,"St. Tammany, LA",22103,53654,23881,11.0,35620
2006-01-01,"St. Tammany, LA",22103,56450,22705,9.9,34408
2007-01-01,"St. Tammany, LA",22103,58891,25127,11.2,34857
2008-01-01,"St. Tammany, LA",22103,57129,22529,10.0,35170
2009-01-01,"St. Tammany, LA",22103,58868,23675,10.3,35490
2010-01-01,"St. Tammany, LA",22103,59398,24440,10.0,35251
2011-01-01,"St. Tammany, LA",22103,59571,24460,10.0,35293
2012-01-01,"St. Tammany, LA",22103,59809,24825,10.0,35496
2013-01-01,"St. Tammany, LA",22103,60197,24926,10.0,35689
2014-01-01,"St. Tammany, LA",22103,60642,25070,10.0,35821
2015-01-01,"St. Tammany, LA",22103,61053,25158,10.0,35902
2016-01-01,"St. Tammany, LA",22103,61399,25268,10.0,35966
2017-01-01,"St. Tammany, LA",22103,61691,25365,10.0,36030
2018-01-01,"St. Tammany, LA",22103,61951,25461,10.0,36097
2019-01-01,"St. Tammany, LA",22103,62192,25545,10.0,36161
