YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Stafford, VA",51179,55416,4001,5.0,14390
1997-01-01,"Stafford, VA",51179,58005,5076,5.7,16520
1998-01-01,"Stafford, VA",51179,62837,4714,5.1,17378
1999-01-01,"Stafford, VA",51179,65306,4227,4.6,18100
2000-01-01,"Stafford, VA",51179,68819,4307,4.4,19009
2001-01-01,"Stafford, VA",51179,69912,4394,4.3,19885
2002-01-01,"Stafford, VA",51179,72839,4901,4.5,21124
2003-01-01,"Stafford, VA",51179,75456,5682,5.0,22635
2004-01-01,"Stafford, VA",51179,78498,5772,4.9,24869
2005-01-01,"Stafford, VA",51179,78862,5366,4.6,25633
2006-01-01,"Stafford, VA",51179,83945,5152,4.4,26178
2007-01-01,"Stafford, VA",51179,86865,4954,4.2,26508
2008-01-01,"Stafford, VA",51179,87145,5713,4.8,26582
2009-01-01,"Stafford, VA",51179,88179,5764,4.7,26850
2010-01-01,"Stafford, VA",51179,88578,5848,4.0,27391
2011-01-01,"Stafford, VA",51179,89386,5854,4.0,27984
2012-01-01,"Stafford, VA",51179,90490,5828,4.0,28514
2013-01-01,"Stafford, VA",51179,91673,5811,4.0,28934
2014-01-01,"Stafford, VA",51179,92752,5818,4.0,29250
2015-01-01,"Stafford, VA",51179,93640,5850,4.0,29498
2016-01-01,"Stafford, VA",51179,94341,5893,4.0,29713
2017-01-01,"Stafford, VA",51179,94909,5936,4.0,29919
2018-01-01,"Stafford, VA",51179,95403,5971,4.0,30123
2019-01-01,"Stafford, VA",51179,95864,5997,4.0,30321
