YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Sterling, TX",48431,33482,178,12.5,388
1997-01-01,"Sterling, TX",48431,32781,165,12.0,373
1998-01-01,"Sterling, TX",48431,33958,162,12.4,371
1999-01-01,"Sterling, TX",48431,33876,179,13.0,362
2000-01-01,"Sterling, TX",48431,35424,182,13.8,349
2001-01-01,"Sterling, TX",48431,35297,196,14.7,309
2002-01-01,"Sterling, TX",48431,36575,173,13.1,307
2003-01-01,"Sterling, TX",48431,37830,154,12.0,288
2004-01-01,"Sterling, TX",48431,37919,144,11.2,273
2005-01-01,"Sterling, TX",48431,39095,179,14.0,266
2006-01-01,"Sterling, TX",48431,41532,176,14.4,242
2007-01-01,"Sterling, TX",48431,44622,156,12.8,211
2008-01-01,"Sterling, TX",48431,48438,142,11.5,196
2009-01-01,"Sterling, TX",48431,49075,163,13.3,201
2010-01-01,"Sterling, TX",48431,50856,160,13.0,184
2011-01-01,"Sterling, TX",48431,52592,157,12.0,171
2012-01-01,"Sterling, TX",48431,54293,157,12.0,158
2013-01-01,"Sterling, TX",48431,55974,156,12.0,146
2014-01-01,"Sterling, TX",48431,57630,155,13.0,134
2015-01-01,"Sterling, TX",48431,59262,155,13.0,123
2016-01-01,"Sterling, TX",48431,60867,154,13.0,112
2017-01-01,"Sterling, TX",48431,62444,153,13.0,101
2018-01-01,"Sterling, TX",48431,63993,153,13.0,90
2019-01-01,"Sterling, TX",48431,65513,152,13.0,79
