YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Stevens, MN",27149,31601,966,10.1,1894
1997-01-01,"Stevens, MN",27149,36408,928,9.8,1839
1998-01-01,"Stevens, MN",27149,37913,973,10.3,1799
1999-01-01,"Stevens, MN",27149,37882,794,8.6,1758
2000-01-01,"Stevens, MN",27149,39229,760,8.3,1704
2001-01-01,"Stevens, MN",27149,38044,830,9.2,1650
2002-01-01,"Stevens, MN",27149,38356,711,7.9,1619
2003-01-01,"Stevens, MN",27149,39422,775,8.6,1520
2004-01-01,"Stevens, MN",27149,41879,779,8.7,1451
2005-01-01,"Stevens, MN",27149,42916,1048,11.9,1434
2006-01-01,"Stevens, MN",27149,43309,1219,13.7,1429
2007-01-01,"Stevens, MN",27149,44888,1178,13.4,1366
2008-01-01,"Stevens, MN",27149,49847,1089,12.3,1348
2009-01-01,"Stevens, MN",27149,53889,1065,12.1,1369
2010-01-01,"Stevens, MN",27149,54367,1008,11.0,1405
2011-01-01,"Stevens, MN",27149,53362,917,10.0,1440
2012-01-01,"Stevens, MN",27149,51595,840,9.0,1464
2013-01-01,"Stevens, MN",27149,49603,792,9.0,1476
2014-01-01,"Stevens, MN",27149,47821,777,8.0,1474
2015-01-01,"Stevens, MN",27149,46551,793,9.0,1461
2016-01-01,"Stevens, MN",27149,45941,829,9.0,1441
2017-01-01,"Stevens, MN",27149,45990,876,10.0,1419
2018-01-01,"Stevens, MN",27149,46577,924,10.0,1397
2019-01-01,"Stevens, MN",27149,47507,963,11.0,1381
