YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Sweetwater, WY",56037,47118,3241,8.0,9943
1997-01-01,"Sweetwater, WY",56037,49255,3389,8.5,9599
1998-01-01,"Sweetwater, WY",56037,51090,3200,8.1,9168
1999-01-01,"Sweetwater, WY",56037,48434,3084,8.3,8825
2000-01-01,"Sweetwater, WY",56037,50234,2788,7.7,8440
2001-01-01,"Sweetwater, WY",56037,50357,2741,7.5,8092
2002-01-01,"Sweetwater, WY",56037,50801,2903,7.9,7592
2003-01-01,"Sweetwater, WY",56037,52402,3199,8.6,7175
2004-01-01,"Sweetwater, WY",56037,54700,3028,8.1,7012
2005-01-01,"Sweetwater, WY",56037,57211,2834,7.6,6817
2006-01-01,"Sweetwater, WY",56037,59170,2848,7.5,7049
2007-01-01,"Sweetwater, WY",56037,66235,2835,7.4,6964
2008-01-01,"Sweetwater, WY",56037,70964,2286,5.8,7341
2009-01-01,"Sweetwater, WY",56037,69297,2939,7.3,7628
2010-01-01,"Sweetwater, WY",56037,72254,2484,6.0,8060
2011-01-01,"Sweetwater, WY",56037,72411,2599,6.0,8468
2012-01-01,"Sweetwater, WY",56037,72582,2512,6.0,8893
2013-01-01,"Sweetwater, WY",56037,71702,2524,6.0,9280
2014-01-01,"Sweetwater, WY",56037,70280,2517,6.0,9616
2015-01-01,"Sweetwater, WY",56037,68264,2536,6.0,9876
2016-01-01,"Sweetwater, WY",56037,65866,2563,6.0,10048
2017-01-01,"Sweetwater, WY",56037,63228,2601,6.0,10121
2018-01-01,"Sweetwater, WY",56037,60537,2645,6.0,10095
2019-01-01,"Sweetwater, WY",56037,57966,2693,6.0,9973
