YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Switzerland, IN",18155,29292,1128,13.4,1561
1997-01-01,"Switzerland, IN",18155,31355,1148,12.9,1552
1998-01-01,"Switzerland, IN",18155,32241,1117,12.3,1622
1999-01-01,"Switzerland, IN",18155,34355,952,10.5,1622
2000-01-01,"Switzerland, IN",18155,36483,1060,11.4,1652
2001-01-01,"Switzerland, IN",18155,36116,1075,11.4,1661
2002-01-01,"Switzerland, IN",18155,35349,1120,11.9,1639
2003-01-01,"Switzerland, IN",18155,36518,1032,10.9,1613
2004-01-01,"Switzerland, IN",18155,38502,1163,12.0,1563
2005-01-01,"Switzerland, IN",18155,39750,1304,13.6,1640
2006-01-01,"Switzerland, IN",18155,42316,1393,14.5,1584
2007-01-01,"Switzerland, IN",18155,42987,1378,14.4,1592
2008-01-01,"Switzerland, IN",18155,42209,1561,16.3,1532
2009-01-01,"Switzerland, IN",18155,41837,1648,17.2,1499
2010-01-01,"Switzerland, IN",18155,42231,1667,17.0,1503
2011-01-01,"Switzerland, IN",18155,42459,1698,17.0,1493
2012-01-01,"Switzerland, IN",18155,42634,1736,18.0,1484
2013-01-01,"Switzerland, IN",18155,42778,1769,18.0,1475
2014-01-01,"Switzerland, IN",18155,42898,1799,18.0,1466
2015-01-01,"Switzerland, IN",18155,42999,1825,19.0,1459
2016-01-01,"Switzerland, IN",18155,43083,1849,19.0,1453
2017-01-01,"Switzerland, IN",18155,43153,1869,19.0,1447
2018-01-01,"Switzerland, IN",18155,43211,1887,19.0,1442
2019-01-01,"Switzerland, IN",18155,43260,1902,20.0,1438
