YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Torrance, NM",35057,26774,3171,23.1,4810
1997-01-01,"Torrance, NM",35057,26334,3787,24.6,5777
1998-01-01,"Torrance, NM",35057,27787,3386,21.5,5979
1999-01-01,"Torrance, NM",35057,28530,3547,21.6,6157
2000-01-01,"Torrance, NM",35057,29927,3639,22.5,6171
2001-01-01,"Torrance, NM",35057,29195,3811,23.8,6097
2002-01-01,"Torrance, NM",35057,28853,3904,24.0,5939
2003-01-01,"Torrance, NM",35057,29701,3497,21.5,5666
2004-01-01,"Torrance, NM",35057,30347,3654,22.4,5470
2005-01-01,"Torrance, NM",35057,31673,4181,25.8,5391
2006-01-01,"Torrance, NM",35057,35553,3504,21.6,5365
2007-01-01,"Torrance, NM",35057,34657,3621,22.7,5200
2008-01-01,"Torrance, NM",35057,36419,3342,21.4,4963
2009-01-01,"Torrance, NM",35057,33048,3889,24.5,4707
2010-01-01,"Torrance, NM",35057,36154,3662,22.0,4673
2011-01-01,"Torrance, NM",35057,37099,3705,23.0,4495
2012-01-01,"Torrance, NM",35057,38118,3686,23.0,4314
2013-01-01,"Torrance, NM",35057,38999,3690,23.0,4130
2014-01-01,"Torrance, NM",35057,39917,3690,23.0,3947
2015-01-01,"Torrance, NM",35057,40852,3692,23.0,3760
2016-01-01,"Torrance, NM",35057,41818,3694,23.0,3569
2017-01-01,"Torrance, NM",35057,42813,3696,23.0,3373
2018-01-01,"Torrance, NM",35057,43837,3698,23.0,3171
2019-01-01,"Torrance, NM",35057,44893,3700,24.0,2964
