YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,WEST VIRGINIA,54000,25354,362594,19.9,314383
1997-01-01,WEST VIRGINIA,54000,27432,302521,16.8,307112
1998-01-01,WEST VIRGINIA,54000,28460,303649,16.8,304052
1999-01-01,WEST VIRGINIA,54000,30108,290195,16.3,301419
2000-01-01,WEST VIRGINIA,54000,30187,273986,15.5,297129
2001-01-01,WEST VIRGINIA,54000,31156,295753,16.7,291811
2002-01-01,WEST VIRGINIA,54000,30695,286838,16.1,286367
2003-01-01,WEST VIRGINIA,54000,32967,290385,16.3,282885
2004-01-01,WEST VIRGINIA,54000,33993,288835,16.2,281209
2005-01-01,WEST VIRGINIA,54000,33466,317957,18.0,280129
2006-01-01,WEST VIRGINIA,54000,35028,310842,17.6,280893
2007-01-01,WEST VIRGINIA,54000,37057,302169,17.1,281938
2008-01-01,WEST VIRGINIA,54000,37528,308064,17.4,282535
2009-01-01,WEST VIRGINIA,54000,37423,316155,17.8,282729
2010-01-01,WEST VIRGINIA,54000,37608,315480,17.0,283847
2011-01-01,WEST VIRGINIA,54000,37654,314222,17.0,284819
2012-01-01,WEST VIRGINIA,54000,37592,313443,17.0,285677
2013-01-01,WEST VIRGINIA,54000,37468,312819,17.0,286413
2014-01-01,WEST VIRGINIA,54000,37314,312223,17.0,287018
2015-01-01,WEST VIRGINIA,54000,37147,311636,17.0,287493
2016-01-01,WEST VIRGINIA,54000,36983,311070,17.0,287845
2017-01-01,WEST VIRGINIA,54000,36830,310547,17.0,288086
2018-01-01,WEST VIRGINIA,54000,36693,310083,17.0,288230
2019-01-01,WEST VIRGINIA,54000,36578,309689,17.0,288294
