YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,WISCONSIN,55000,37572,454274,8.9,843741
1997-01-01,WISCONSIN,55000,39800,478698,9.2,870175
1998-01-01,WISCONSIN,55000,42169,462809,8.9,879259
1999-01-01,WISCONSIN,55000,43301,442421,8.4,881780
2000-01-01,WISCONSIN,55000,44503,430657,8.1,879542
2001-01-01,WISCONSIN,55000,45435,429673,8.1,877757
2002-01-01,WISCONSIN,55000,45377,455846,8.5,879476
2003-01-01,WISCONSIN,55000,46538,483246,9.0,879361
2004-01-01,WISCONSIN,55000,46142,590365,10.9,880031
2005-01-01,WISCONSIN,55000,47141,547648,10.2,864652
2006-01-01,WISCONSIN,55000,48784,589377,10.9,875174
2007-01-01,WISCONSIN,55000,50567,589168,10.8,876700
2008-01-01,WISCONSIN,55000,52103,573574,10.5,874633
2009-01-01,WISCONSIN,55000,49994,682973,12.4,873750
2010-01-01,WISCONSIN,55000,51933,658582,12.0,861566
2011-01-01,WISCONSIN,55000,52370,718839,13.0,870358
2012-01-01,WISCONSIN,55000,53676,720535,13.0,864584
2013-01-01,WISCONSIN,55000,54386,759337,13.0,866647
2014-01-01,WISCONSIN,55000,55433,778274,14.0,863467
2015-01-01,WISCONSIN,55000,56281,811523,14.0,863293
2016-01-01,WISCONSIN,55000,57275,837669,15.0,861212
2017-01-01,WISCONSIN,55000,58212,869412,15.0,860247
2018-01-01,WISCONSIN,55000,59218,898881,16.0,858560
2019-01-01,WISCONSIN,55000,60217,930839,16.0,857267
