YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Wakulla, FL",12129,33085,2513,13.9,3916
1997-01-01,"Wakulla, FL",12129,34492,2559,13.7,4270
1998-01-01,"Wakulla, FL",12129,35903,2589,13.5,4444
1999-01-01,"Wakulla, FL",12129,36071,2581,11.8,4651
2000-01-01,"Wakulla, FL",12129,37761,2753,12.2,4640
2001-01-01,"Wakulla, FL",12129,36802,3055,13.0,4620
2002-01-01,"Wakulla, FL",12129,36732,2996,12.2,4677
2003-01-01,"Wakulla, FL",12129,37995,2801,11.0,4689
2004-01-01,"Wakulla, FL",12129,39849,2743,10.4,4733
2005-01-01,"Wakulla, FL",12129,41863,3103,11.8,4884
2006-01-01,"Wakulla, FL",12129,47672,3369,12.2,4914
2007-01-01,"Wakulla, FL",12129,46997,3169,11.3,5050
2008-01-01,"Wakulla, FL",12129,48012,3773,13.0,5179
2009-01-01,"Wakulla, FL",12129,48022,4186,14.1,5264
2010-01-01,"Wakulla, FL",12129,47566,4186,13.0,5255
2011-01-01,"Wakulla, FL",12129,47690,4135,12.0,5236
2012-01-01,"Wakulla, FL",12129,48223,4088,12.0,5232
2013-01-01,"Wakulla, FL",12129,48944,4073,12.0,5247
2014-01-01,"Wakulla, FL",12129,49676,4097,12.0,5275
2015-01-01,"Wakulla, FL",12129,50317,4147,12.0,5309
2016-01-01,"Wakulla, FL",12129,50839,4209,12.0,5341
2017-01-01,"Wakulla, FL",12129,51256,4271,12.0,5370
2018-01-01,"Wakulla, FL",12129,51600,4326,12.0,5393
2019-01-01,"Wakulla, FL",12129,51902,4371,12.0,5412
