YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Walker, TX",48471,28652,8283,20.4,7545
1997-01-01,"Walker, TX",48471,30971,8193,19.9,7685
1998-01-01,"Walker, TX",48471,32566,7150,17.3,7756
1999-01-01,"Walker, TX",48471,30877,7107,15.7,7671
2000-01-01,"Walker, TX",48471,32132,8765,19.5,7769
2001-01-01,"Walker, TX",48471,31093,9870,22.0,7707
2002-01-01,"Walker, TX",48471,30803,9871,21.7,7642
2003-01-01,"Walker, TX",48471,30537,8795,19.4,7733
2004-01-01,"Walker, TX",48471,30807,9418,20.9,7807
2005-01-01,"Walker, TX",48471,35064,10065,22.6,7741
2006-01-01,"Walker, TX",48471,31783,11309,25.3,7605
2007-01-01,"Walker, TX",48471,34927,11109,24.2,7105
2008-01-01,"Walker, TX",48471,38244,10820,23.5,7040
2009-01-01,"Walker, TX",48471,37203,10817,23.2,6893
2010-01-01,"Walker, TX",48471,38479,10755,22.0,6851
2011-01-01,"Walker, TX",48471,38859,10855,23.0,6794
2012-01-01,"Walker, TX",48471,39309,10978,23.0,6744
2013-01-01,"Walker, TX",48471,39732,11112,23.0,6692
2014-01-01,"Walker, TX",48471,40164,11236,23.0,6638
2015-01-01,"Walker, TX",48471,40604,11347,23.0,6583
2016-01-01,"Walker, TX",48471,41047,11442,23.0,6527
2017-01-01,"Walker, TX",48471,41483,11525,23.0,6472
2018-01-01,"Walker, TX",48471,41905,11600,24.0,6420
2019-01-01,"Walker, TX",48471,42311,11669,24.0,6369
