YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Ware, GA",13299,25698,8055,23.4,6858
1997-01-01,"Ware, GA",13299,25866,8187,23.9,6711
1998-01-01,"Ware, GA",13299,26647,7704,22.5,6752
1999-01-01,"Ware, GA",13299,27053,6733,20.1,6624
2000-01-01,"Ware, GA",13299,28494,6665,20.0,6486
2001-01-01,"Ware, GA",13299,27619,6823,20.5,6486
2002-01-01,"Ware, GA",13299,27879,6934,20.7,6429
2003-01-01,"Ware, GA",13299,28499,6336,18.9,6428
2004-01-01,"Ware, GA",13299,29413,6531,19.5,6343
2005-01-01,"Ware, GA",13299,30047,7109,21.5,6393
2006-01-01,"Ware, GA",13299,31944,6946,20.9,6347
2007-01-01,"Ware, GA",13299,34286,6823,20.4,6271
2008-01-01,"Ware, GA",13299,34983,6909,20.7,6188
2009-01-01,"Ware, GA",13299,31004,8381,25.0,6008
2010-01-01,"Ware, GA",13299,30169,8300,24.0,6377
2011-01-01,"Ware, GA",13299,29106,8310,24.0,6472
2012-01-01,"Ware, GA",13299,28446,8178,23.0,6536
2013-01-01,"Ware, GA",13299,28078,7992,23.0,6565
2014-01-01,"Ware, GA",13299,27965,7790,22.0,6569
2015-01-01,"Ware, GA",13299,28048,7601,22.0,6555
2016-01-01,"Ware, GA",13299,28266,7445,22.0,6532
2017-01-01,"Ware, GA",13299,28558,7330,21.0,6503
2018-01-01,"Ware, GA",13299,28872,7260,21.0,6474
2019-01-01,"Ware, GA",13299,29166,7231,21.0,6448
