YEAR,Areaname,STCOU,Median_Household_Income,Poverty_number_of_people,Poverty_percent_of_people,Public_school_enrollment_Fall
1995-01-01,"Washington, ME",23029,24688,7433,20.7,6175
1997-01-01,"Washington, ME",23029,25673,6252,17.7,5961
1998-01-01,"Washington, ME",23029,25997,5931,17.0,5776
1999-01-01,"Washington, ME",23029,26230,5756,17.2,5670
2000-01-01,"Washington, ME",23029,27197,5520,16.8,5428
2001-01-01,"Washington, ME",23029,26523,5537,16.9,6383
2002-01-01,"Washington, ME",23029,27007,5790,17.6,5039
2003-01-01,"Washington, ME",23029,28311,5312,16.1,4850
2004-01-01,"Washington, ME",23029,29087,5701,17.4,4584
2005-01-01,"Washington, ME",23029,29721,6177,19.1,4439
2006-01-01,"Washington, ME",23029,31563,6348,19.6,4582
2007-01-01,"Washington, ME",23029,32624,6425,20.1,4546
2008-01-01,"Washington, ME",23029,31856,6335,20.1,4664
2009-01-01,"Washington, ME",23029,31861,6414,20.6,4541
2010-01-01,"Washington, ME",23029,32608,6325,20.0,4437
2011-01-01,"Washington, ME",23029,32980,6425,20.0,4357
2012-01-01,"Washington, ME",23029,33382,6492,20.0,4299
2013-01-01,"Washington, ME",23029,33744,6558,21.0,4246
2014-01-01,"Washington, ME",23029,34084,6615,21.0,4196
2015-01-01,"Washington, ME",23029,34404,6668,21.0,4148
2016-01-01,"Washington, ME",23029,34705,6716,21.0,4103
2017-01-01,"Washington, ME",23029,34990,6761,22.0,4060
2018-01-01,"Washington, ME",23029,35260,6803,22.0,4019
2019-01-01,"Washington, ME",23029,35515,6843,22.0,3979
